bitly_link,email1_clicks,email2_clicks,total_clicks
https://bit.ly/45CZ0rY,23,3,26
https://bit.ly/45B68VW,15,0,15
https://bit.ly/45KhvLd,0,12,12
https://bit.ly/4boR7YI,11,0,11
https://bit.ly/3zbYa9z,8,0,8
https://bit.ly/45Bqnmi,6,2,8
https://bit.ly/4cf9ccJ,7,0,7
https://bit.ly/45Bow0W,7,0,7
https://bit.ly/3xlwEpJ,0,6,6
https://bit.ly/3XCetXp,0,6,6
https://bit.ly/45KhNlh,4,2,6
https://bit.ly/3xiUO4c,6,0,6
https://bit.ly/4bmw9t7,6,0,6
https://bit.ly/3zgasOa,0,6,6
https://bit.ly/4cbINg5,4,1,5
https://bit.ly/4cba5TO,5,0,5
https://bit.ly/45KhNBN,5,0,5
https://bit.ly/4ccSD1b,4,1,5
https://bit.ly/45EDFON,5,0,5
https://bit.ly/45APDJi,5,0,5
https://bit.ly/3znLQ64,4,0,4
https://bit.ly/45K1KEc,4,0,4
https://bit.ly/45KhPJV,0,4,4
https://bit.ly/4cdqBTc,4,0,4
https://bit.ly/3XzQg3S,4,0,4
https://bit.ly/4bj4FF1,0,4,4
https://bit.ly/4cedHV5,4,0,4
https://bit.ly/3zbY0Pv,4,0,4
https://bit.ly/4ct0jN3,0,4,4
https://bit.ly/4blhLkW,2,2,4
https://bit.ly/3xiUUJ6,4,0,4
https://bit.ly/3zcT6lt,4,0,4
https://bit.ly/3zgasxE,4,0,4
https://bit.ly/3zgLqyB,0,3,3
https://bit.ly/45AawEH,3,0,3
https://bit.ly/45Bmy0i,0,3,3
https://bit.ly/4cdqAi6,3,0,3
https://bit.ly/4cbOt9z,0,3,3
https://bit.ly/3zhBS6s,3,0,3
https://bit.ly/4bj4x8v,2,1,3
https://bit.ly/45Khzur,3,0,3
https://bit.ly/4cedv8j,3,0,3
https://bit.ly/4cbIOAF,3,0,3
https://bit.ly/4cbIORb,3,0,3
https://bit.ly/4bj4uJR,3,0,3
https://bit.ly/3XCetGT,3,0,3
https://bit.ly/4cakPla,3,0,3
https://bit.ly/4blhIpg,3,0,3
https://bit.ly/3zfR7wA,0,3,3
https://bit.ly/4bmc7PA,3,0,3
https://bit.ly/45KhNSj,0,3,3
https://bit.ly/45B688o,3,0,3
https://bit.ly/45APtSc,3,0,3
https://bit.ly/45BRnSB,3,0,3
https://bit.ly/4bfY8e4,0,3,3
https://bit.ly/45F9bfH,0,3,3
https://bit.ly/45DeMmM,2,1,3
https://bit.ly/3XybkHZ,0,3,3
https://bit.ly/45F997z,0,3,3
https://bit.ly/3zjaFQU,0,3,3
https://bit.ly/3znGBTU,3,0,3
https://bit.ly/4bj4vNV,0,3,3
https://bit.ly/4bgHGKs,0,3,3
https://bit.ly/3XCqtbo,2,0,2
https://bit.ly/45DeD2I,2,0,2
https://bit.ly/45KhA1t,2,0,2
https://bit.ly/4bifXco,2,0,2
https://bit.ly/3zd01ei,0,2,2
https://bit.ly/4c4n8WZ,2,0,2
https://bit.ly/3zbGfQu,0,2,2
https://bit.ly/45zKb9H,2,0,2
https://bit.ly/45B6agw,2,0,2
https://bit.ly/3xkqaaF,0,2,2
https://bit.ly/45TMvZv,2,0,2
https://bit.ly/3xlwGhl,2,0,2
https://bit.ly/45GSuke,0,2,2
https://bit.ly/4boRa6Q,2,0,2
https://bit.ly/45B6bRC,2,0,2
https://bit.ly/3XAJwTh,2,0,2
https://bit.ly/45F1lTo,0,2,2
https://bit.ly/45zW67v,2,0,2
https://bit.ly/45F9gQx,0,2,2
https://bit.ly/3XwAVkL,2,0,2
https://bit.ly/4boRdj2,0,2,2
https://bit.ly/45C0EKs,2,0,2
https://bit.ly/3zhBR2o,0,2,2
https://bit.ly/45FDe7e,2,0,2
https://bit.ly/45DeJHC,1,1,2
https://bit.ly/4cgxbbI,2,0,2
https://bit.ly/45Bos1c,2,0,2
https://bit.ly/3znGBDo,2,0,2
https://bit.ly/4cdqzuy,0,2,2
https://bit.ly/45KhDKH,0,2,2
https://bit.ly/3zbGaMG,2,0,2
https://bit.ly/45E8u6r,2,0,2
https://bit.ly/4bixBNt,0,2,2
https://bit.ly/45DezA0,2,0,2
https://bit.ly/3XzduqU,2,0,2
https://bit.ly/3XCTFz8,2,0,2
https://bit.ly/45F9ffr,2,0,2
https://bit.ly/4bbhQYw,2,0,2
https://bit.ly/3zbYchH,2,0,2
https://bit.ly/4bj4yJB,2,0,2
https://bit.ly/45Khxmj,0,2,2
https://bit.ly/3znLQmA,2,0,2
https://bit.ly/45H9Jld,2,0,2
https://bit.ly/45FD9QY,0,2,2
https://bit.ly/45K1NQo,1,1,2
https://bit.ly/3XAJwCL,2,0,2
https://bit.ly/3XCeuur,2,0,2
https://bit.ly/45CYZUW,2,0,2
https://bit.ly/3zbYbKF,1,1,2
https://bit.ly/4cba6qQ,2,0,2
https://bit.ly/4cfih5g,2,0,2
https://bit.ly/45KhDub,2,0,2
https://bit.ly/3XwF9c4,2,0,2
https://bit.ly/3XAaqL4,2,0,2
https://bit.ly/3XCTGTI,2,0,2
https://bit.ly/45H9FBZ,0,2,2
https://bit.ly/3XCqtIq,1,1,2
https://bit.ly/45E8tzp,2,0,2
https://bit.ly/3znLP20,2,0,2
https://bit.ly/3xiUVwE,2,0,2
https://bit.ly/45FDgfm,2,0,2
https://bit.ly/3XU7gST,2,0,2
https://bit.ly/4bftS35,2,0,2
https://bit.ly/45GSv7M,2,0,2
https://bit.ly/45DeCvG,0,2,2
https://bit.ly/3XABWbi,2,0,2
https://bit.ly/4c8pMei,2,0,2
https://bit.ly/3XANmfq,2,0,2
https://bit.ly/4cdqHu2,2,0,2
https://bit.ly/45zW1Rf,2,0,2
https://bit.ly/4boRbHW,1,1,2
https://bit.ly/3XCTG6a,2,0,2
https://bit.ly/4bmwaNH,2,0,2
https://bit.ly/45APwNS,2,0,2
https://bit.ly/45Bqlea,1,1,2
https://bit.ly/4c4naOB,0,2,2
https://bit.ly/45CYWse,2,0,2
https://bit.ly/45APzJy,2,0,2
https://bit.ly/45KhEhJ,2,0,2
https://bit.ly/3zcTbFN,1,1,2
https://bit.ly/3zhBRiU,0,2,2
https://bit.ly/45zW9QJ,2,0,2
https://bit.ly/3xiUQsQ,2,0,2
https://bit.ly/45EDF1f,2,0,2
https://bit.ly/3zcT8d5,2,0,2
https://bit.ly/45EDGlP,0,2,2
https://bit.ly/4bixAJp,0,2,2
https://bit.ly/45BqluG,0,2,2
https://bit.ly/45KhKWD,2,0,2
https://bit.ly/45APHc0,2,0,2
https://bit.ly/3zbY3uF,2,0,2
https://bit.ly/4bmc722,2,0,2
https://bit.ly/45zKcdL,2,0,2
https://bit.ly/45APIwA,2,0,2
https://bit.ly/3zjayos,2,0,2
https://bit.ly/45Bqoqm,2,0,2
https://bit.ly/4bfBcf4,0,2,2
https://bit.ly/4c8pNim,0,2,2
https://bit.ly/45KhIxZ,2,0,2
https://bit.ly/3xlwFKj,2,0,2
https://bit.ly/3zgLsqd,0,2,2
https://bit.ly/45TMxR7,0,2,2
https://bit.ly/4cgxdjQ,2,0,2
https://bit.ly/4bwOowp,2,0,2
https://bit.ly/45KhEyf,2,0,2
https://bit.ly/4ccSCdD,0,2,2
https://bit.ly/3xmejZE,2,0,2
https://bit.ly/3xiUUsA,0,2,2
https://bit.ly/45KhB5x,2,0,2
https://bit.ly/45F1mqq,0,2,2
https://bit.ly/4cdoCOy,2,0,2
https://bit.ly/4beSd9i,2,0,2
https://bit.ly/4cedzoz,0,2,2
https://bit.ly/3XH6nNn,2,0,2
https://bit.ly/45E8tPV,0,2,2
https://bit.ly/3xiUOkI,1,1,2
https://bit.ly/3zhBViE,2,0,2
https://bit.ly/45EDLpD,2,0,2
https://bit.ly/3XCqsUS,2,0,2
https://bit.ly/45FaKtZ,1,1,2
https://bit.ly/45DeyMs,2,0,2
https://bit.ly/45BRoWF,0,2,2
https://bit.ly/4cedIZ9,0,1,1
https://bit.ly/45KhPcT,1,0,1
https://bit.ly/4bb2Dqk,1,0,1
https://bit.ly/3zhBQeQ,1,0,1
https://bit.ly/45F9hE5,0,1,1
https://bit.ly/45KhQgX,1,0,1
https://bit.ly/4cba56g,1,0,1
https://bit.ly/45F1gPm,1,0,1
https://bit.ly/3zqwrBW,0,1,1
https://bit.ly/45C0G52,1,0,1
https://bit.ly/4cdqJCa,1,0,1
https://bit.ly/45F9erT,0,1,1
https://bit.ly/4c8pN1Q,1,0,1
https://bit.ly/3Xxeegl,1,0,1
https://bit.ly/3zgLqi5,1,0,1
https://bit.ly/3zbYaGB,1,0,1
https://bit.ly/3XF3AEb,0,1,1
https://bit.ly/4cdlp1x,1,0,1
https://bit.ly/4bwOqEx,1,0,1
https://bit.ly/45KhGGn,1,0,1
https://bit.ly/3zfOvyL,1,0,1
https://bit.ly/45F1oyy,1,0,1
https://bit.ly/4bgHJpC,1,0,1
https://bit.ly/3xkZNBn,1,0,1
https://bit.ly/4cqeKB6,1,0,1
https://bit.ly/45Khw1J,1,0,1
https://bit.ly/3XBBN7z,1,0,1
https://bit.ly/4cduYOa,1,0,1
https://bit.ly/4bmc4TU,1,0,1
https://bit.ly/4bixCB1,1,0,1
https://bit.ly/3XCeri5,1,0,1
https://bit.ly/3zbGafE,0,1,1
https://bit.ly/45K1JQE,0,1,1
https://bit.ly/4cgeGE8,1,0,1
https://bit.ly/45z0lQN,1,0,1
https://bit.ly/4cbINN7,1,0,1
https://bit.ly/45zK8e1,1,0,1
https://bit.ly/45BRptH,1,0,1
https://bit.ly/45APuFK,1,0,1
https://bit.ly/3zpwmyr,1,0,1
https://bit.ly/45C0Auc,1,0,1
https://bit.ly/45z0iEB,1,0,1
https://bit.ly/45AaBIv,0,1,1
https://bit.ly/4cgeHYI,1,0,1
https://bit.ly/45KhGWT,1,0,1
https://bit.ly/45EDHWV,1,0,1
https://bit.ly/3zfOuLd,1,0,1
https://bit.ly/4beWVUn,1,0,1
https://bit.ly/45DeE6M,0,1,1
https://bit.ly/4cedCRh,1,0,1
https://bit.ly/45FaL11,1,0,1
https://bit.ly/3XCTGDc,1,0,1
https://bit.ly/4bj4wkX,1,0,1
https://bit.ly/45zW7Z7,1,0,1
https://bit.ly/3znSVn7,1,0,1
https://bit.ly/4cbaaqA,1,0,1
https://bit.ly/3XybkYv,1,0,1
https://bit.ly/3zfOv1J,0,1,1
https://bit.ly/3XCHbrk,1,0,1
https://bit.ly/45KhK95,1,0,1
https://bit.ly/45F9eIp,1,0,1
https://bit.ly/3zcT6Sv,1,0,1
https://bit.ly/3XCesCF,1,0,1
https://bit.ly/45GSqB0,1,0,1
https://bit.ly/45B69sY,1,0,1
https://bit.ly/45APsxC,1,0,1
https://bit.ly/4bj4zgD,1,0,1
https://bit.ly/4bj4BVN,1,0,1
https://bit.ly/3zgLq1z,1,0,1
https://bit.ly/45DeKLG,1,0,1
https://bit.ly/3xkZJS9,1,0,1
https://bit.ly/4cjDlI8,1,0,1
https://bit.ly/4cedyRx,1,0,1
https://bit.ly/45FaLy3,0,1,1
https://bit.ly/4bfGszs,1,0,1
https://bit.ly/3zbGbQK,1,0,1
https://bit.ly/4cfzk7e,1,0,1
https://bit.ly/3XzduXW,1,0,1
https://bit.ly/4cgxa7E,1,0,1
https://bit.ly/45TMyEF,0,1,1
https://bit.ly/4cba0zu,1,0,1
https://bit.ly/4bjppfL,0,1,1
https://bit.ly/4bixCkv,0,1,1
https://bit.ly/45Bmyxk,0,1,1
https://bit.ly/45F9c3f,0,1,1
https://bit.ly/45KhN4L,0,1,1
https://bit.ly/3zqwspu,0,1,1
https://bit.ly/4bwOrs5,1,0,1
https://bit.ly/4cf9aS9,1,0,1
https://bit.ly/45C0CCk,0,1,1
https://bit.ly/4cedKjJ,1,0,1
https://bit.ly/4cgxeUW,1,0,1
https://bit.ly/3zcT8tB,1,0,1
https://bit.ly/45zKe5n,0,1,1
https://bit.ly/4bcztHf,1,0,1
https://bit.ly/3xiUUc4,1,0,1
https://bit.ly/45TMy7D,1,0,1
https://bit.ly/3XCHbYm,1,0,1
https://bit.ly/45z0hR3,1,0,1
https://bit.ly/4cfii9k,0,1,1
https://bit.ly/3xiUUZC,1,0,1
https://bit.ly/3XABWrO,1,0,1
https://bit.ly/3zhBSU0,1,0,1
https://bit.ly/3XH6oRr,1,0,1
https://bit.ly/4cdlnqr,1,0,1
https://bit.ly/45DeGvq,0,1,1
https://bit.ly/3zbY2H7,1,0,1
https://bit.ly/3XwAWoP,0,1,1
https://bit.ly/45EKct9,1,0,1
https://bit.ly/45BqkXE,0,1,1
https://bit.ly/4bcztXL,1,0,1
https://bit.ly/45BoshI,0,1,1
https://bit.ly/3XItTcu,1,0,1
https://bit.ly/3XzdreI,1,0,1
https://bit.ly/4cedAsD,0,1,1
https://bit.ly/45TMvbX,1,0,1
https://bit.ly/45KhOFR,0,1,1
https://bit.ly/3zjaBAE,1,0,1
https://bit.ly/45F9cjL,1,0,1
https://bit.ly/45zW3IR,1,0,1
https://bit.ly/45BoxC2,1,0,1
https://bit.ly/3zfOwmj,1,0,1
https://bit.ly/45K1NzS,1,0,1
https://bit.ly/45FDcME,1,0,1
https://bit.ly/3XAari6,1,0,1
https://bit.ly/45EDG5j,1,0,1
https://bit.ly/45K1K7a,1,0,1
https://bit.ly/3zjawgk,1,0,1
https://bit.ly/4cgx5AS,1,0,1
https://bit.ly/45z0kwd,1,0,1
https://bit.ly/45APu8I,1,0,1
https://bit.ly/4cedyB1,1,0,1
https://bit.ly/4cqeJNy,0,1,1
https://bit.ly/4cb9W2I,0,1,1
https://bit.ly/45F9gjv,1,0,1
https://bit.ly/45DeHQ0,1,0,1
https://bit.ly/45B6dZK,1,0,1
https://bit.ly/45EKdgH,1,0,1
https://bit.ly/3XItSoW,0,1,1
https://bit.ly/4bb2HX6,1,0,1
https://bit.ly/45Bou9k,0,1,1
https://bit.ly/45B68oU,1,0,1
https://bit.ly/45APFRq,1,0,1
https://bit.ly/4cgxm6S,1,0,1
https://bit.ly/45DeFaQ,1,0,1
https://bit.ly/4cbaG7L,1,0,1
https://bit.ly/45H9Ih9,1,0,1
https://bit.ly/3XBjSxT,1,0,1
https://bit.ly/45DeDQg,1,0,1
https://bit.ly/3XU7hpV,1,0,1
https://bit.ly/45H9Hd5,1,0,1
https://bit.ly/45KhMxJ,1,0,1
https://bit.ly/45TMvIZ,1,0,1
https://bit.ly/3XzdrLK,1,0,1
https://bit.ly/4bmc5aq,1,0,1
https://bit.ly/45z0jIF,1,0,1
https://bit.ly/4cdqGGu,0,1,1
https://bit.ly/4cbIOk9,1,0,1
https://bit.ly/3zbYbdD,1,0,1
https://bit.ly/45H9Ddl,1,0,1
https://bit.ly/45DeHiY,1,0,1
https://bit.ly/4bfYbGM,1,0,1
https://bit.ly/45CZ0Iu,1,0,1
https://bit.ly/45TMuop,0,1,1
https://bit.ly/4cbILVv,1,0,1
https://bit.ly/45Aaz3l,1,0,1
https://bit.ly/3zbYdlL,0,1,1
https://bit.ly/45FaNpF,0,1,1
https://bit.ly/3XAJxXl,0,1,1
https://bit.ly/4cjDkE4,1,0,1
https://bit.ly/4bgKS9b,1,0,1
https://bit.ly/4biTxbc,1,0,1
https://bit.ly/45F9aIF,1,0,1
https://bit.ly/3XItU02,1,0,1
https://bit.ly/4beWVDR,1,0,1
https://bit.ly/4be3yWZ,1,0,1
https://bit.ly/45H9HK7,1,0,1
https://bit.ly/45AavR9,1,0,1
https://bit.ly/45BRpKd,0,1,1
https://bit.ly/4bfWfOr,1,0,1
https://bit.ly/45F1mXs,0,1,1
https://bit.ly/45APCFe,0,1,1
https://bit.ly/3XF3A79,1,0,1
https://bit.ly/3XwAUNJ,1,0,1
https://bit.ly/45EKccD,1,0,1
https://bit.ly/3zjazZy,1,0,1
https://bit.ly/45E8sLR,1,0,1
https://bit.ly/3XzQfgk,1,0,1
https://bit.ly/45APG7W,1,0,1
https://bit.ly/3xkZMNP,1,0,1
https://bit.ly/4bjpq3j,1,0,1
https://bit.ly/3xlwIpt,1,0,1
https://bit.ly/4cf9d0h,1,0,1
https://bit.ly/45KhyXp,0,1,1
https://bit.ly/45C0BhK,1,0,1
https://bit.ly/4ciAbEj,1,0,1
https://bit.ly/3zhBRzq,1,0,1
https://bit.ly/4cdjtWY,1,0,1
https://bit.ly/4cqeIsY,1,0,1
https://bit.ly/45zW13H,1,0,1
https://bit.ly/3XzdtDm,1,0,1
https://bit.ly/45GStga,1,0,1
https://bit.ly/3zbGg70,1,0,1
https://bit.ly/4bbhNvO,1,0,1
https://bit.ly/45BRspn,1,0,1
https://bit.ly/45FDd3a,0,1,1
https://bit.ly/4bifS8A,0,1,1
https://bit.ly/45BmwFI,1,0,1
https://bit.ly/3zjaFjS,1,0,1
https://bit.ly/45F1nuu,0,1,1
https://bit.ly/45BqkH8,1,0,1
https://bit.ly/45GSsZE,1,0,1
https://bit.ly/4bmwcoN,0,1,1
https://bit.ly/3zgLr5D,1,0,1
https://bit.ly/45BmxcK,1,0,1
https://bit.ly/3XwhMzn,1,0,1
https://bit.ly/45z0mnP,1,0,1
https://bit.ly/4bfYelW,1,0,1
https://bit.ly/3XCesm9,0,1,1
https://bit.ly/45zW3sl,1,0,1
https://bit.ly/4bj4EAX,1,0,1
https://bit.ly/45FDcfC,1,0,1
https://bit.ly/45C0GC4,0,1,1
https://bit.ly/4cba3eE,1,0,1
https://bit.ly/45KhE1d,1,0,1
https://bit.ly/45K1Qf2,0,1,1
https://bit.ly/4cdlm5R,1,0,1
https://bit.ly/45z0kfH,1,0,1
https://bit.ly/3XCTFPE,0,1,1
https://bit.ly/3XzdsPO,0,1,1
https://bit.ly/45KhzdV,1,0,1
https://bit.ly/4bwOoMV,1,0,1
https://bit.ly/45BRttr,1,0,1
https://bit.ly/3XANlIo,1,0,1
https://bit.ly/4bgg8F9,1,0,1
https://bit.ly/4bfY6Tu,1,0,1
https://bit.ly/4bgg887,1,0,1
https://bit.ly/3zcT7px,0,1,1
https://bit.ly/4boRbrq,1,0,1
https://bit.ly/3zbGcEi,1,0,1
https://bit.ly/4cgxlzQ,1,0,1
https://bit.ly/3zjaAN6,1,0,1
https://bit.ly/4boRbYs,1,0,1
https://bit.ly/45KhF5h,1,0,1
https://bit.ly/45APCVK,1,0,1
https://bit.ly/4cdlnXt,0,1,1
https://bit.ly/4bfY65W,1,0,1
https://bit.ly/45EDGSR,1,0,1
https://bit.ly/4cdqtTI,0,1,1
https://bit.ly/4bgKRSF,1,0,1
https://bit.ly/45Aaw7F,1,0,1
https://bit.ly/4beWXLZ,0,1,1
https://bit.ly/3XAYl8H,1,0,1
https://bit.ly/45KhCX9,0,1,1
https://bit.ly/3XwAWVR,0,1,1
https://bit.ly/45B6egg,0,1,1
https://bit.ly/3zhBQLS,1,0,1
https://bit.ly/3zjaAg4,1,0,1
https://bit.ly/45z0js9,0,1,1
https://bit.ly/45BqoXo,1,0,1
https://bit.ly/4bfGrvo,1,0,1
https://bit.ly/45APs0A,1,0,1
https://bit.ly/45TMyo9,1,0,1
https://bit.ly/45BovtU,0,1,1
https://bit.ly/3zbGfjs,0,1,1
https://bit.ly/3XAYmJN,1,0,1
https://bit.ly/45FaJWX,0,1,1
https://bit.ly/45F9dnP,1,0,1
https://bit.ly/4eEnyFl,1,0,1
https://bit.ly/4cduXK6,1,0,1
https://bit.ly/4blhLBs,1,0,1
https://bit.ly/45KhJSz,1,0,1
https://bit.ly/45EDJ0Z,1,0,1
https://bit.ly/4cgxaoa,1,0,1
https://bit.ly/45FD9As,1,0,1
https://bit.ly/45EDItX,1,0,1
https://bit.ly/45APsO8,0,1,1
https://bit.ly/4bjeIJY,0,1,1
https://bit.ly/45BRtJX,0,1,1
https://bit.ly/45F9d7j,1,0,1
https://bit.ly/4bb2Fys,0,1,1
https://bit.ly/4bifWoQ,0,1,1
https://bit.ly/3zhBPYk,1,0,1
https://bit.ly/3xmejsC,1,0,1
https://bit.ly/4biTwUG,1,0,1
https://bit.ly/45TMu7T,1,0,1
https://bit.ly/3zhBRPW,1,0,1
https://bit.ly/3zjaEfO,0,1,1
https://bit.ly/3zfR6c0,1,0,1
https://bit.ly/45zK9yB,1,0,1
https://bit.ly/4ccSDOJ,0,1,1
https://bit.ly/45CZ0Z0,1,0,1
https://bit.ly/45K1GUY,1,0,1
https://bit.ly/45BRo97,0,1,1
