"","department","seminar_count","bin_category","condition"
"1","Arizona State University-Computer Science",1,"[0,1]","treatment"
"2","Arizona State University-Mechanical Engineering",1,"[0,1]","treatment"
"3","Auburn University-Chemistry",1,"[0,1]","treatment"
"4","Auburn University-Computer Science",1,"[0,1]","control"
"5","Auburn University-Mechanical Engineering",1,"[0,1]","control"
"6","Baylor University-Chemistry",1,"[0,1]","control"
"7","Baylor University-Physics",1,"[0,1]","control"
"8","Binghamton University-Mechanical Engineering",1,"[0,1]","control"
"9","Boston College-Physics",1,"[0,1]","treatment"
"10","California Institute of Technology-Computer Science",1,"[0,1]","control"
"11","California Institute of Technology-Mechanical Engineering",1,"[0,1]","treatment"
"12","Carnegie Mellon University-Chemistry",1,"[0,1]","control"
"13","Carnegie Mellon University-Mechanical Engineering",1,"[0,1]","control"
"14","Case Western Reserve University-Chemistry",1,"[0,1]","control"
"15","Clemson University-Chemistry",1,"[0,1]","control"
"16","Clemson University-Computer Science",1,"[0,1]","control"
"17","Colorado School of Mines-Chemistry",1,"[0,1]","control"
"18","Colorado School of Mines-Computer Science",1,"[0,1]","control"
"19","Colorado School of Mines-Mathematics",1,"[0,1]","control"
"20","Colorado School of Mines-Mechanical Engineering",1,"[0,1]","control"
"21","Colorado School of Mines-Physics",1,"[0,1]","control"
"22","Colorado State University-Computer Science",1,"[0,1]","control"
"23","Colorado State University-Physics",1,"[0,1]","control"
"24","Columbia University-Mechanical Engineering",1,"[0,1]","treatment"
"25","Cornell University-Chemistry",1,"[0,1]","control"
"26","Cornell University-Mechanical Engineering",1,"[0,1]","control"
"27","Dartmouth College-Chemistry",1,"[0,1]","treatment"
"28","Dartmouth College-Physics",1,"[0,1]","control"
"29","Drexel University-Mathematics",1,"[0,1]","control"
"30","Drexel University-Mechanical Engineering",1,"[0,1]","treatment"
"31","Duke University-Mechanical Engineering",1,"[0,1]","control"
"32","Emory University-Physics",1,"[0,1]","control"
"33","Florida International University-Chemistry",1,"[0,1]","treatment"
"34","Florida International University-Physics",1,"[0,1]","treatment"
"35","Florida State University-Computer Science",1,"[0,1]","treatment"
"36","Florida State University-Mechanical Engineering",1,"[0,1]","treatment"
"37","George Mason University-Chemistry",1,"[0,1]","treatment"
"38","George Mason University-Computer Science",1,"[0,1]","control"
"39","George Mason University-Mechanical Engineering",1,"[0,1]","treatment"
"40","George Mason University-Physics",1,"[0,1]","control"
"41","George Washington University-Chemistry",1,"[0,1]","treatment"
"42","George Washington University-Physics",1,"[0,1]","treatment"
"43","Georgetown University-Chemistry",1,"[0,1]","control"
"44","Georgetown University-Mathematics",1,"[0,1]","control"
"45","Georgetown University-Physics",1,"[0,1]","control"
"46","Georgia State University-Chemistry",1,"[0,1]","control"
"47","Georgia State University-Physics",1,"[0,1]","control"
"48","Graduate Center, CUNY-Mechanical Engineering",1,"[0,1]","treatment"
"49","Harvard University-Mechanical Engineering",1,"[0,1]","control"
"50","Iowa State University-Computer Science",1,"[0,1]","control"
"51","Iowa State University-Mechanical Engineering",1,"[0,1]","control"
"52","Iowa State University-Physics",1,"[0,1]","treatment"
"53","Johns Hopkins University-Computer Science",1,"[0,1]","control"
"54","Kansas State University-Chemistry",1,"[0,1]","treatment"
"55","Kent State University-Chemistry",1,"[0,1]","treatment"
"56","Louisiana State University-Computer Science",1,"[0,1]","control"
"57","Louisiana State University-Physics",1,"[0,1]","control"
"58","Mississippi State University-Chemistry",1,"[0,1]","treatment"
"59","Mississippi State University-Computer Science",1,"[0,1]","control"
"60","Mississippi State University-Mathematics",1,"[0,1]","treatment"
"61","Mississippi State University-Physics",1,"[0,1]","treatment"
"62","Montana State University-Chemistry",1,"[0,1]","treatment"
"63","Montana State University-Computer Science",1,"[0,1]","control"
"64","Montana State University-Physics",1,"[0,1]","control"
"65","New Jersey Institute of Technology-Computer Science",1,"[0,1]","control"
"66","North Carolina State University-Mechanical Engineering",1,"[0,1]","control"
"67","North Dakota State University-Computer Science",1,"[0,1]","control"
"68","North Dakota State University-Physics",1,"[0,1]","treatment"
"69","Northeastern University-Chemistry",1,"[0,1]","control"
"70","Ohio University-Chemistry",1,"[0,1]","control"
"71","Ohio University-Mathematics",1,"[0,1]","treatment"
"72","Oklahoma State University-Stillwater-Chemistry",1,"[0,1]","treatment"
"73","Oklahoma State University-Stillwater-Physics",1,"[0,1]","control"
"74","Old Dominion University-Chemistry",1,"[0,1]","treatment"
"75","Old Dominion University-Computer Science",1,"[0,1]","control"
"76","Old Dominion University-Mathematics",1,"[0,1]","control"
"77","Oregon State University-Chemistry",1,"[0,1]","control"
"78","Pennsylvania State University-Chemistry",1,"[0,1]","treatment"
"79","Pennsylvania State University-Mechanical Engineering",1,"[0,1]","control"
