Schools,Department,Link,Race,Gender,Name,Title,Website,Photo.Link,Research.Area
Baylor University,chemistry,https://www.baylor.edu/chemistry/,Hispanic,Man,Carlos E. Manzanares,Professor,https://chemistry.artsandsciences.baylor.edu/person/carlos-e-manzanares-phd,https://academicphotos.s3.amazonaws.com/chemistry/Baylor_University/Carlos_E._Manzanares.jpg,"physical chemistry, the study of highly excited vibrational states of polyatomic molecules to obtain information about molecular structure, vibrational energy levels, and intramolecular dynamics"
Boston University,chemistry,https://www.bu.edu/chemistry/,Hispanic,Man,Arturo Vegas,Assistant Professor,https://www.bu.edu/chemistry/profile/arturo-vegas/,https://academicphotos.s3.amazonaws.com/chemistry/Boston_University/Arturo_Vegas.jpg,"drug delivery, cancer therapeutics"
Boston University,chemistry,https://www.bu.edu/chemistry/,Black,Woman,Malika Jeffriesel,Professor,https://www.bu.edu/chemistry/profile/malika-jeffries-el/,https://academicphotos.s3.amazonaws.com/chemistry/Boston_University/Malika+Jeffriesel.jpg,"organic electronics, polymer chemistry"
Boston University,chemistry,https://www.bu.edu/chemistry/,Hispanic,Woman,Rosina M. Georgiadis,Associate Professor,https://www.bu.edu/chemistry/profile/rosina-m-georgiadis/,https://academicphotos.s3.amazonaws.com/chemistry/Boston_University/Rosina_M_Georgiadis.jpg,surface chemistry
Carnegie Mellon University,chemistry,https://www.cmu.edu/chemistry/,Hispanic,Man,Gabriel Gomes,Assistant Professor,https://www.cmu.edu/chemistry/people/faculty/gomes.html,https://academicphotos.s3.amazonaws.com/chemistry/Carnegie_Mellon_University/Gabriel_Gomes.jpg,"theoretical chemistry, ai/cs for chemistry, organic materials"
Carnegie Mellon University,chemistry,https://www.cmu.edu/chemistry/,Hispanic,Man,Isaac Garcia Bosch,Associate Professor,https://www.cmu.edu/chemistry/people/faculty/garcia_bosch.html,https://academicphotos.s3.amazonaws.com/chemistry/Carnegie_Mellon_University/Isaac_Garcia_Bosch.jpg,inorganic chemistry
Case Western Reserve University,chemistry,https://chemistry.case.edu/,Hispanic,Man,Carlos E. Crespo-Hernandez,Professor And Associate Dean For Research,https://chemistry.case.edu/faculty/carlos-crespo-hernandez/,https://academicphotos.s3.amazonaws.com/chemistry/Case_Western_Reserve_University/Carlos_E._Crespo-Hern%C3%A1ndez.jpg,"photochemistry, spectroscopy"
Case Western Reserve University,chemistry,https://chemistry.case.edu/,Hispanic,Man,Daniel A. Scherson,Frank Hovorka Professor,https://chemistry.case.edu/faculty/daniel-scherson/,https://academicphotos.s3.amazonaws.com/chemistry/Case_Western_Reserve_University/Daniel_A._Scherson.jpg,"electrochemistry, energy storage, materials"
Clemson University,chemistry,https://www.clemson.edu/science/departments/chemistry/,Hispanic,Man,Carlos D. Garcia Perez,Professor,https://scienceweb.clemson.edu/uacl/,https://academicphotos.s3.amazonaws.com/chemistry/Clemson_University/Carlos_D_Garcia_Perez.jpeg,"advance the understanding and applicability of microfluidic devices, nanomaterials, and electrochemical processes"
Duke University,chemistry,https://chem.duke.edu/,Hispanic,Man,Ivan A. Moreno-Hernandez,Assistant Professor,https://scholars.duke.edu/person/ivan.moreno-hernandez,https://academicphotos.s3.amazonaws.com/chemistry/Duke_University/Ivan_A._Moreno-Hernandez.jpg,"electrocatalysis, renewable energy"
Emory University,chemistry,https://www.chemistry.emory.edu/,Hispanic,Man,Francesco Evangelista,Professor,https://evangelistalab.org/,https://academicphotos.s3.amazonaws.com/chemistry/Emory_University/Francesco_Evangelista.jpg,"theoretical chemistry, quantum computing"
Emory University,chemistry,https://www.chemistry.emory.edu/,Hispanic,Man,Raphael F. Ribeiro,Assistant Professor,https://ribeiro.emorychem.science/,https://academicphotos.s3.amazonaws.com/chemistry/Emory_University/Raphael_F._Ribeiro.jpg,"theoretical chemistry, condensed matter physics"
Florida International University,chemistry,https://chemistry.fiu.edu/,Hispanic,Man,Francisco Alberto Fernandez-Lima,Professor,https://case.fiu.edu/about/directory/profiles/fernandez-lima-francisco.html,https://academicphotos.s3.amazonaws.com/chemistry/Florida_International_University/Francisco_Alberto_Fernandez-Lima.jpg,"mass spectrometry, proteomics"
Florida International University,chemistry,https://chemistry.fiu.edu/,Hispanic,Woman,Natalia Soares Quinete,Assistant Professor,https://case.fiu.edu/about/directory/profiles/soares-quinete-natalia.html,https://academicphotos.s3.amazonaws.com/chemistry/Florida_International_University/Natalia_Soares_Quinete.jpg,"analytical chemistry, environmental monitoring"
Florida International University,chemistry,https://chemistry.fiu.edu/,Hispanic,Man,Ramon Lopez De La Vega,Associate Professor,https://case.fiu.edu/about/directory/profiles/lopez-de-la-vega-ramon.html,https://academicphotos.s3.amazonaws.com/chemistry/Florida_International_University/Ramon_Lopez_De_La_Vega.jpg,"inorganic chemistry, kinetics"
