Schools,Department,Link,Race,Gender,Name,Title,Website,Photo.Link,Research.Area
Arizona State University,computerScience,https://cidse.engineering.asu.edu/,Hispanic,Woman,Andrea Richa,President's Professor,https://search.asu.edu/profile/198256,https://academicphotos.s3.amazonaws.com/computerScience/Arizona_State_University/Andrea_Richa.jpg,"self-organizing particle systems, programmable matter, active matter, bio-inspired algorithms; distributed computing and algorithms; theory of wireless communication; graph, randomized, and approximation algorithms; self-stabilizing overlay networks; combinatorial optimization; distributed resource allocation"
Auburn University,computerScience,https://www.eng.auburn.edu/csse/,Black,Woman,Cheryl Seals,Charles W. Barkley Professor,https://eng.auburn.edu/directory/sealscd,https://academicphotos.s3.amazonaws.com/computerScience/Auburn_University/Cheryl_Seals.jpg,human computer interaction and developing applications to improve the usability of products for many different populations.
Auburn University,computerScience,https://www.eng.auburn.edu/csse/,Black,Man,Gerry Dozier,Charles D. Mccrary Eminent Chair Professor,https://eng.auburn.edu/directory/doziegv,https://academicphotos.s3.amazonaws.com/computerScience/Auburn_University/Gerry_Dozier_.jpg,"artificial intelligence, computational intelligence, cyber security, identity science, cyber identity protection and privacy"
Auburn University,computerScience,https://www.eng.auburn.edu/csse/,Black,Woman,Jakita O. Thomas,Philpott-Westpoint Stevens Associate Professor,https://eng.auburn.edu/directory/jnt0020,https://academicphotos.s3.amazonaws.com/computerScience/Auburn_University/Jakita_O._Thomas.jpg,"development of computational algorithmic thinking, complex cognitive skill development, access to healthcare information and services for under-served populations, intersectionality in computing,computer-supported collaborative learning"
Case Western Reserve University,computerScience,https://engineering.case.edu/eecs/,Hispanic,Man,Mario Garciasanz,Professor,https://engineering.case.edu/about/school-directory/mario-garcia-sanz,https://academicphotos.s3.amazonaws.com/computerScience/Case_Western_Reserve_University/Mario_Garcia-Sanz.jpg,"control systems, energy, environmental, and industrial applications"
Clemson University,computerScience,https://www.clemson.edu/cecas/departments/computing/,Hispanic,Man,Carlos Toxtli-Hernandez,Assistant Professor,https://www.carlostoxtli.com/,https://academicphotos.s3.amazonaws.com/computerScience/Clemson_University/Carlos_Toxtli-Hern%C3%A1ndez.jpg,"software engineering, human factors for software engineering"
Colorado School of Mines,computerScience,https://cs.mines.edu/,Hispanic,Man,Gabe Fierro,Assistant Professor,https://cs.mines.edu/project/fierro-gabriel/,https://academicphotos.s3.amazonaws.com/computerScience/Colorado_School_of_Mines/GABE_FIERRO.jpg,"cyber-physical systems, iot"
Colorado State University,computerScience,https://compsci.colostate.edu/,Hispanic,Man,Francisco Ortega,Assistant Professor,https://compsci.colostate.edu/person/?id=22550A7530193FD205613DD09DD2EE6F&sq=t,https://academicphotos.s3.amazonaws.com/computerScience/Colorado_State_University/Francisco_Ortega.jpg,"user interaction, computer science"
Columbia University,computerScience,https://www.cs.columbia.edu/,Black,Man,Brian A. Smith,Assistant Professor,https://www.cs.columbia.edu/~brian/,https://academicphotos.s3.amazonaws.com/computerScience/Columbia_University/Brian%E2%80%82A.%E2%80%82Smith.jpg,"human-centered ai, accessibility"
Cornell University,computerScience,https://www.cs.cornell.edu/,Black,Man,Owolabi Legunsen,Assistant Professor,https://www.cs.cornell.edu/~legunsen/,https://academicphotos.s3.amazonaws.com/computerScience/Cornell_University/Owolabi_Legunsen.jpg,"software engineering, testing"
Dartmouth College,computerScience,https://web.cs.dartmouth.edu/,Black,Woman,Temiloluwa O. Prioleau,Assistant Professor,https://web.cs.dartmouth.edu/people/temiloluwa-o-prioleau,https://academicphotos.s3.amazonaws.com/computerScience/Dartmouth_College/Temiloluwa_O._Prioleau.jpg,"health data science, wearable computing"
Drexel University,computerScience,https://drexel.edu/cci/academics/departments/computer-science/,Hispanic,Man,Santiago Ontanon,Associate Professor,https://drexel.edu/cci/about/directory/O/Ontanon-Santiago/,https://academicphotos.s3.amazonaws.com/computerScience/Drexel_University/Santiago_Onta%C3%B1%C3%B3n.jpg,"artificial intelligence, machine learning"
Emory University,computerScience,https://www.cs.emory.edu/,Black,Man,Dorian Arnold,Associate Professor,https://computerscience.emory.edu/people/index.html,https://academicphotos.s3.amazonaws.com/computerScience/Emory_University/Dorian_Arnold.jpg,"theory/systems, scientific computing"
Emory University,computerScience,https://www.cs.emory.edu/,Black,Woman,Yolanda Rankin,Associate Professor,https://www.sigcse2024.org/profile/yolandarankin,https://academicphotos.s3.amazonaws.com/computerScience/Emory_University/Yolanda Rankin.jpeg,"computer science education, gaming"
Florida International University,computerScience,https://www.cis.fiu.edu/,Hispanic,Man,Leonardo Bobadilla,Associate Professor,https://www.cis.fiu.edu/faculty-staff/leonardo-bobadilla/,https://academicphotos.s3.amazonaws.com/computerScience/Florida_International_University/Leonardo_Bobadilla.jpg,"robotics, automation"
George Mason University,computerScience,https://cs.gmu.edu/,Black,Woman,Brittany Johnson-Matthews,Assistant Professor,https://cs.gmu.edu/~johnsonb/,https://academicphotos.s3.amazonaws.com/computerScience/George_Mason_University/Brittany_Johnson-Matthews.jpg,"cross-cutting with research in software engineering, human-computer interaction, and machine learning"
George Mason University,computerScience,https://cs.gmu.edu/,Hispanic,Man,Daniel Barbara,Professor,https://cs.gmu.edu/~dbarbara/,https://academicphotos.s3.amazonaws.com/computerScience/George_Mason_University/daniel+barbara.jpg,data mining and machine learning
"Graduate Center, CUNY",computerScience,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science,Black,Man,Asohan Amarasingham,Associate Professor,https://www.gc.cuny.edu/people/asohan-amarasingham,"https://academicphotos.s3.amazonaws.com/computerScience/Graduate_Center,_CUNY/ASOHAN_AMARASINGHAM.jpg","systems, statistical analysis of large-scale ext racellular recordings, the study of neuronal circuits and their models, neural coding"
"Graduate Center, CUNY",computerScience,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science,Hispanic,Man,Candido Cabo,Professor,https://www.gc.cuny.edu/people/candido-cabo,"https://academicphotos.s3.amazonaws.com/computerScience/Graduate_Center,_CUNY/CANDIDO_CABO.jpg",modeling of biological processes
"Graduate Center, CUNY",computerScience,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science,Black,Man,Oyewole Oyekoya,Associate Professor,https://www.gc.cuny.edu/people/oyewole-oyekoya,"https://academicphotos.s3.amazonaws.com/computerScience/Graduate_Center,_CUNY/OYEWOLE_OYEKOYA.jpg","machine learning, immersive visualization and virtual reality (e.g. caves), scientific visualization, learning in virtual environments, distributed heterogeneous systems, robotics and telepresence, eye tracking and visual attention modeling"
Harvard University,computerScience,https://www.seas.harvard.edu/computer-science,Hispanic,Woman,Fernanda Viegas,Professor,https://seas.harvard.edu/person/fernanda-viegas,https://academicphotos.s3.amazonaws.com/computerScience/Harvard_University/fernanda+viegas.jpg,"machine learning, artificial intelligence, computation and society, graphics, vision, and visualization, human-computer interaction"
Harvard University,computerScience,https://www.seas.harvard.edu/computer-science,Black,Woman,James Mickens,Professor,https://seas.harvard.edu/person/james-mickens,https://academicphotos.s3.amazonaws.com/computerScience/Harvard_University/james+mickens.jpg,"computation and society, systems, networks, and databases"
Indiana University Bloomington,computerScience,https://www.cs.indiana.edu/,Black,Man,Harrison Prosper,Professor,http://www.hep.fsu.edu/~harry/,https://academicphotos.s3.amazonaws.com/computerScience/Indiana_University_Bloomington/Harrison_Prosper.jpeg,"experimental high energy physics, statistical inference, machine learning, and cosmology"
Indiana University Bloomington,computerScience,https://www.cs.indiana.edu/,Hispanic,Woman,Mayly Sanchez,Professor,https://physics.fsu.edu/person/mayly-sanchez,https://academicphotos.s3.amazonaws.com/computerScience/Indiana_University_Bloomington/Mayly_Sanchez.jpg,high energy physics
Massachusetts Institute of Technology,computerScience,https://www.eecs.mit.edu/,Black,Man,Michael Carbin,Associate Professor,https://people.csail.mit.edu/mcarbin/,https://academicphotos.s3.amazonaws.com/computerScience/Massachusetts_Institute_of_Technology/Michael_Carbin.jpg,"the design, semantics, and implementation of language-driven systems"
New Jersey Institute of Technology,computerScience,https://cs.njit.edu/,Black,Man,Vincent Oria,Professor,https://people.njit.edu/profile/oria,https://academicphotos.s3.amazonaws.com/computerScience/New_Jersey_Institute_of_Technology/Vincent_Oria.jpg,"multimedia databases, spatio-temporal databases"
North Carolina State University,computerScience,https://www.csc.ncsu.edu/,Black,Woman,Kemafor Anyanwu Ogan,Associate Professor,https://www.csc.ncsu.edu/people/kogan,https://academicphotos.s3.amazonaws.com/computerScience/North_Carolina_State_University/Dr._Kemafor_Anyanwu_Ogan.jpg,"artificial intelligence and intelligent agents, cloud computing"
Northeastern University,computerScience,https://www.khoury.northeastern.edu/,Hispanic,Man,Ricardo Baezayates,Professor,https://www.khoury.northeastern.edu/people/ricardo-baeza-yates/,https://academicphotos.s3.amazonaws.com/computerScience/Northeastern_University/Ricardo_Baeza-Yates.webp,"information retrieval, web search and data mining, data science and its associated algorithms"
Northeastern University,computerScience,https://www.khoury.northeastern.edu/,Hispanic,Woman,Saiph Savage,Assistant Professor,https://www.khoury.northeastern.edu/people/saiph-savage/,https://academicphotos.s3.amazonaws.com/computerScience/Northeastern_University/Saiph_Savage_.jpg,"artificial intelligence, human-computer interaction, data science, network science, machine learning"
Northwestern University,computerScience,https://www.mccormick.northwestern.edu/computer-science/,Black,Man,Russell Joseph,Associate Professor,https://www.mccormick.northwestern.edu/research-faculty/directory/profiles/joseph-russ.html,https://academicphotos.s3.amazonaws.com/computerScience/Northwestern_University/Russell_Joseph.jpg,"computer architecture, microprocessor design for reliability and variability tolerance"
Ohio State University,computerScience,https://www.cse.ohio-state.edu/,Black,Man,Christopher Stewart,Associate Professor,https://cse.osu.edu/people/stewart.962,https://academicphotos.s3.amazonaws.com/computerScience/Ohio_State_University/Christopher_Stewart.jpg,"distributed systems, performance modeling"
Ohio State University,computerScience,https://www.cse.ohio-state.edu/,Black,Man,Donald Williamson,Associate Professor,https://cse.osu.edu/people/williamson.413,https://academicphotos.s3.amazonaws.com/computerScience/Ohio_State_University/Donald_Williamson.jpg,"machine (deep) learning, signal processing"
Pennsylvania State University,computerScience,https://science.psu.edu/cmpsc,Black,Man,Donald Ebeigbe,Assistant Professor,https://www.eecs.psu.edu/departments/directory-detail-g.aspx?q=dee5127,https://academicphotos.s3.amazonaws.com/computerScience/Pennsylvania_State_University/Donald_Ebeigbe.jpg,control and decision systems; signal and image processing
Princeton University,computerScience,https://www.cs.princeton.edu/,Black,Woman,Adji Bousso Dieng,Assistant Professor,https://www.cs.princeton.edu/people/profile/ad6725,https://academicphotos.s3.amazonaws.com/computerScience/Princeton_University/Adji_Bousso_Dieng.jpg,"computational biology, machine learning"
Princeton University,computerScience,https://www.cs.princeton.edu/,Hispanic,Man,Andres Monroy Hernandez,Assistant Professor,https://www.cs.princeton.edu/people/profile/andresmh,https://academicphotos.s3.amazonaws.com/computerScience/Princeton_University/Andr%C3%A9s_Monroy-Hern%C3%A1ndez.jpg,human-computer interaction
Purdue University,computerScience,https://www.cs.purdue.edu/,Hispanic,Man,Gustavo Adolfo Junipero Rodriguez-Rivera,Associate Professor,https://www.cs.purdue.edu/people/faculty/grr.html,https://academicphotos.s3.amazonaws.com/computerScience/Purdue_University/Gustavo_Adolfo_Junipero_Rodriguez-rivera.jpg,"operating systems, computer networks"
Rensselaer Polytechnic Institute,computerScience,https://science.rpi.edu/computer-science,Black,Man,Alex Gittens,Assistant Professor,https://faculty.rpi.edu/alex-gittens,https://academicphotos.s3.amazonaws.com/computerScience/Rensselaer_Polytechnic_Institute/Alex_Gittens.jpg,"applying randomness to computational linear algebra, machine learning"
Rensselaer Polytechnic Institute,computerScience,https://science.rpi.edu/computer-science,Hispanic,Man,Carlos Varela,Professor,https://faculty.rpi.edu/carlos-varela,https://academicphotos.s3.amazonaws.com/computerScience/Rensselaer_Polytechnic_Institute/Carlos_Varela.jpg,"concurrent programming, distributed computing"
Rice University,computerScience,https://www.cs.rice.edu/,Hispanic,Man,Vicente Ordonez Roman,Associate Professor,https://profiles.rice.edu/faculty/vicente-ordonez-roman,https://academicphotos.s3.amazonaws.com/computerScience/Rice_University/Vicente_Ord%C3%B3%C3%B1ez-Rom%C3%A1n.jpg,"computer vision, machine learning"
Stanford University,computerScience,https://cs.stanford.edu/,Black,Man,Kunle Olukotun,Professor,https://www.cs.stanford.edu/people/oyekunle-olukotun,https://academicphotos.s3.amazonaws.com/computerScience/Stanford_University/Kunle_Olukotun.jpg,"computer architecture, parallel computing"
Temple University,computerScience,https://www.temple.edu/academics/degree-programs/computer-science-major-st-csci-bs,Black,Man,Karl Morris,Associate Professor,https://cis-linux1.temple.edu/~tuf80213/,https://academicphotos.s3.amazonaws.com/computerScience/Temple_University/Karl_Morris.png,mobile computing and autonomous systems
Texas A&M University,computerScience,https://engineering.tamu.edu/cse/,Hispanic,Man,Daniel A. Jimenez,Professor,https://engineering.tamu.edu/cse/profiles/djimenez.html,https://academicphotos.s3.amazonaws.com/computerScience/Texas_A%26M_University/Daniel_A._Jim%C3%A9nez.jpg,"computer architecture, compilers"
Texas A&M University,computerScience,https://engineering.tamu.edu/cse/,Hispanic,Woman,Dilma Da Silva,Professor,https://engineering.tamu.edu/cse/profiles/da-silva-dilma.html,https://academicphotos.s3.amazonaws.com/computerScience/Texas_A&M_University/Dilma_Da_Silva.jpg,"cloud computing, operating systems"
Texas Tech University,computerScience,https://www.depts.ttu.edu/cs/,Native American,Woman,Uma Maheswari Chinta,Assistant Professor,https://www.depts.ttu.edu/cs/faculty/Uma_Chinta/uma_chinta.php,https://academicphotos.s3.amazonaws.com/computerScience/Texas_Tech_University/UMA_MAHESWARI_CHINTA.jpg,"emotional expression in autistic individuals. , analysis of facial expressions as indicators of emotional states."
Texas Tech University,computerScience,https://www.depts.ttu.edu/cs/,Black,Man,Abdul Serwadda,Associate Professor,https://www.depts.ttu.edu/cs/faculty/abdul_serwadda/index.php,https://academicphotos.s3.amazonaws.com/computerScience/Texas_Tech_University/ABDUL_SERWADDA.jpg,"cyber security and privacy, machine learning and data mining"
"University at Albany, SUNY",computerScience,https://www.albany.edu/computer-science,Black,Woman,Chinwe Ekenna,Assistant Professor,https://www.albany.edu/computer-science/faculty/chinwe-ekenna,"https://academicphotos.s3.amazonaws.com/computerScience/University_at_Albany,_SUNY/Chinwe_Ekenna.jpg",intelligent motion planning applied to robotics and proteins
University at Buffalo,computerScience,https://engineering.buffalo.edu/computer-science-engineering.html,Black,Woman,Ifeoma Nwogu,Associate Professor,https://engineering.buffalo.edu/computer-science-engineering/people/faculty-directory/full-time.host.html/content/shared/engineering/computer-science-engineering/profiles/faculty/ladder/nwogu-ifeoma.detail.html,https://academicphotos.s3.amazonaws.com/computerScience/University_at_Buffalo/Ifeoma_Nwogu.jpg,artificial intelligence and machine learning and data mining
University of Alabama,computerScience,https://cs.ua.edu/,Black,Man,Chris S. Crawford,Associate Professor,https://eng.ua.edu/eng-directory/dr-chris-s-crawford/,https://academicphotos.s3.amazonaws.com/computerScience/University_of_Alabama/Chris_S._Crawford.jpg,human-centered computing
