Schools,Department,Link,Race,Gender,Name,Title,Website,Photo.Link,Research.Area
Arizona State University,physics,https://physics.asu.edu/,Hispanic,Woman,Antia Sanchez Botana,Associate Professor,https://search.asu.edu/profile/3316902,https://academicphotos.s3.amazonaws.com/physics/Arizona_State_University/Antia_Sanchez_Botana.jpg,"computational physics, nanoscience and material physics"
Arizona State University,physics,https://physics.asu.edu/,Hispanic,Man,Fernando Ponce,Professor,https://search.asu.edu/profile/215963,https://academicphotos.s3.amazonaws.com/physics/Arizona_State_University/Fernando_Ponce.jpg,"electron microscopy, materials science, nanoscience"
Arizona State University,physics,https://physics.asu.edu/,Hispanic,Man,Jose Menendez,Professor,https://search.asu.edu/profile/25775,https://academicphotos.s3.amazonaws.com/physics/Arizona_State_University/Jose_Menendez.jpg,nanoscience and material physics; semiconductors
Arizona State University,physics,https://physics.asu.edu/,Hispanic,Man,Ricardo Alarcon,President'S Professor,https://isearch.asu.edu/profile/83782,https://academicphotos.s3.amazonaws.com/physics/Arizona_State_University/Ricardo_Alarcon.jpg,"design, construction, and execution of experiments in basic nuclear science"
Binghamton University,physics,https://www.binghamton.edu/physics/,Hispanic,Woman,Elena Roxana Margine,Associate Professor,https://www.binghamton.edu/physics/faculty/profile.html?id=rmargine,https://academicphotos.s3.amazonaws.com/physics/Binghamton_University/Elena_Roxana_Margine.jpg,"materials modelling, first-principles calculations, phonon-limited superconductivity, carrier transport, sustainable software development"
Boston University,physics,https://www.bu.edu/physics/,Hispanic,Woman,Indara Suarez,Associate Professor,https://www.bu.edu/physics/profile/indara-suarez/,https://academicphotos.s3.amazonaws.com/physics/Boston_University/Indara_Suarez.jpeg,"experimental particle physics, lhc"
Brown University,physics,https://www.brown.edu/academics/physics/,Black,Man,Stephon H. Alexander,Professor,https://vivo.brown.edu/display/salexan4,https://academicphotos.s3.amazonaws.com/physics/Brown_University/Stephon_H_Alexander.jpg,"cosmology, particle physics and quantum gravity"
California Institute of Technology,physics,https://www.pma.caltech.edu/,Hispanic,Man,Fernando Brandao,Bren Professor,https://pma.caltech.edu/people/fernando-brandao,https://academicphotos.s3.amazonaws.com/physics/California_Institute_of_Technology/Fernando_Brandao.jpg,"quantum computing, quantum information"
Columbia University,physics,https://physics.columbia.edu/,Hispanic,Woman,Ana Asenjo Garcia,Associate Professor,https://www.physics.columbia.edu/content/ana-asenjo-garcia,https://academicphotos.s3.amazonaws.com/physics/Columbia_University/Ana_Asenjo_Garcia.jpg,"quantum optics, photonics"
Columbia University,physics,https://physics.columbia.edu/,Hispanic,Woman,Kerstin M. Perez,Associate Professor,https://www.physics.columbia.edu/content/kerstin-m-perez,https://academicphotos.s3.amazonaws.com/physics/Columbia_University/Kerstin_M._Perez.jpg,"experimental particle physics, dark matter"
Columbia University,physics,https://physics.columbia.edu/,Hispanic,Woman,Raquel Queiroz,Assistant Professor,https://www.physics.columbia.edu/content/raquel-queiroz,https://academicphotos.s3.amazonaws.com/physics/Columbia_University/Raquel_Queiroz.jpg,"condensed matter physics, topological materials"
Dartmouth College,physics,https://physics.dartmouth.edu/,Black,Man,James Daniel Whitfield,Associate Professor,https://physics.dartmouth.edu/people/james-daniel-whitfield,https://academicphotos.s3.amazonaws.com/physics/Dartmouth_College/James_Daniel_Whitfield_.jpg,"quantum chemistry, computation"
Duke University,physics,https://phy.duke.edu/,Black,Man,Divine P. Kumah,Associate Professor,https://scholars.duke.edu/person/divine.kumah,https://academicphotos.s3.amazonaws.com/physics/Duke_University/Divine_P_Kumah_.jpg,experimental condensed matter physics and are aimed at understanding the novel electronic and magnetic properties which emerge at the interfaces between crystalline materials
Emory University,physics,https://www.physics.emory.edu/,Hispanic,Man,Luiz Santos,Assistant Professor,https://physics.emory.edu/home/people/bios/santos-luiz.html,https://academicphotos.s3.amazonaws.com/physics/Emory_University/LUIZ_SANTOS.jpg,"condensed matter theory, topological materials"
Georgetown University,physics,https://physics.georgetown.edu/,Hispanic,Woman,Emanuela Del Gado,Professor,https://physics.georgetown.edu/emanuela-delgado/,https://academicphotos.s3.amazonaws.com/physics/Georgetown_University/Emanuela_Del_Gado.jpg,"statistical mechanics and computational physics; structure, cooperative dynamics and nonlinear mechanics of amorphous solids, gels and glasses; nanoscale structure and mechanics of cement gels; self-assembly of nanoparticles and fibrils at liquid interfaces; biomimetic coatings and mechanics of tissues"
Georgetown University,physics,https://physics.georgetown.edu/,Hispanic,Woman,Paola Barbara,Professor,https://physics.georgetown.edu/paola-barbara/,https://academicphotos.s3.amazonaws.com/physics/Georgetown_University/Paola_Barbara.jpg,"physics, applications of anatomically thin materials"
