seminar_link,university,department,seminar name,university,department,seminar name
http://comet.lehman.cuny.edu/behrstock/seminar/,"Graduate Center, CUNY",Mathematics,Geometry and Topology Seminar,"Graduate Center, CUNY",Mathematics,Geometry and Topology Seminar
http://go.illinois.edu/chemistrybiology,University of Illinois Urbana-Champaign,Chemistry,Chemical Biology Seminars,University of Illinois Urbana-Champaign,Chemistry,Chemical Biology Seminars
http://illinois.edu/calendar/list/458,University of Illinois Urbana-Champaign,Chemistry,Physical Chemistry Seminar,University of Illinois Urbana-Champaign,Chemistry,Physical Chemistry Seminar
http://illinois.edu/calendar/list/484,University of Illinois Urbana-Champaign,Chemistry,Inorganic/Materials Chemistry Seminars,University of Illinois Urbana-Champaign,Chemistry,Inorganic/Materials Chemistry Seminars
http://illinois.edu/calendar/list/513,University of Illinois Urbana-Champaign,Chemistry,Organic Chemistry Seminar,University of Illinois Urbana-Champaign,Chemistry,Organic Chemistry Seminar
http://jthartwig.net/ag/,Iowa State University,Mathematics,Algebra and Geometry Seminar,Iowa State University,Mathematics,Algebra and Geometry Seminar
http://math.uchicago.edu/seminars/geometry_topology.html,University of Chicago,Mathematics,Geometry/Topology Seminar,University of Chicago,Mathematics,Geometry/Topology Seminar
http://math.uchicago.edu/~algtop/,University of Chicago,Mathematics,Algebraic Topology Seminar,University of Chicago,Mathematics,Algebraic Topology Seminar
http://math.uchicago.edu/~probstatphys,University of Chicago,Mathematics,Probability and Statistical Physics Seminar,University of Chicago,Mathematics,Probability and Statistical Physics Seminar
http://www.lemiller.net/AlgSeminar.html,University of Arkansas,Mathematics,Algebra Seminar,University of Arkansas,Mathematics,Algebra Seminar
https://www.math.ucsb.edu/news,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
http://www.physics.rutgers.edu/grad/634,Rutgers University-New Brunswick,Physics,Seminar in Physics,Rutgers University-New Brunswick,Physics,Seminar in Physics
