seminar_id,seminar_name,department,university,discipline,condition
95f835-0ffd71-af,Seminars,Arizona State University-Computer Science,Arizona State University,Computer Science,treatment
1a6095-3dd388-72,Topology Seminar,Auburn University-Mathematics,Auburn University,Mathematics,control
9f0f10-9218b6-47,Department Colloquium Series,Baylor University-Physics,Baylor University,Physics,control
cf7b37-0d72c8-22,Colloquium,Binghamton University-Mathematics,Binghamton University,Mathematics,control
09b6b2-b03245-76,Math & Machine Learning Seminar,Boston College-Mathematics,Boston College,Mathematics,control
818b6a-a9ac5e-7c,BC-MIT Number Theory Seminar,Boston College-Mathematics,Boston College,Mathematics,control
97048e-ee239f-fb,Colloquium Series,Boston University-Computer Science,Boston University,Computer Science,treatment
cb2b2d-912256-62,High Energy Theory (HET) Seminars,Brown University-Physics,Brown University,Physics,treatment
6e2d3d-f65eaa-4f,CaJAGWR Seminars,California Institute of Technology-Physics,California Institute of Technology,Physics,control
b805ea-26b29f-15,Core Model Seminars,Carnegie Mellon University-Mathematics,Carnegie Mellon University,Mathematics,treatment
ff8852-51bc58-f1,Crypto Seminar,Carnegie Mellon University-Computer Science,Carnegie Mellon University,Computer Science,control
5f30ba-40b69c-e6,ECSE Collloquium Series,Case Western Reserve University-Computer Science,Case Western Reserve University,Computer Science,treatment
7b0e63-d58ad7-8c,CDS Colloquium Series,Case Western Reserve University-Computer Science,Case Western Reserve University,Computer Science,treatment
088e2b-7801ee-c0,Seminar Series,Clemson University-Mechanical Engineering,Clemson University,Mechanical Engineering,treatment
5812ca-2c5bdd-ba,Biophysics Seminar,Clemson University-Physics,Clemson University,Physics,control
936047-ffa5fb-ed,School of Computing Seminars,Clemson University-Computer Science,Clemson University,Computer Science,control
982bbb-b3e980-34,Atmospheric and space physics seminar,Clemson University-Physics,Clemson University,Physics,control
de3943-43921d-23,Algebra and Discrete Mathematics Seminar,Clemson University-Mathematics,Clemson University,Mathematics,treatment
e01218-7c4ea7-78,Mechatronics Series,Clemson University-Mechanical Engineering,Clemson University,Mechanical Engineering,treatment
8d3837-0ee3fa-79,Applied Category Theory,Colorado State University-Mathematics,Colorado State University,Mathematics,treatment
a7a2be-4366d4-82,Topology Seminar,Colorado State University-Mathematics,Colorado State University,Mathematics,treatment
150266-c746ca-a9,VIGR Seminar,Columbia University-Computer Science,Columbia University,Computer Science,treatment
283111-027304-9a,Symplectic Geometry and Gauge Theory Seminar,Columbia University-Mathematics,Columbia University,Mathematics,treatment
3afcd3-ba2836-d5,Enumerative Invariants and Birational Transformations,Columbia University-Mathematics,Columbia University,Mathematics,treatment
4a4862-279a18-72,NLP Seminar,Columbia University-Computer Science,Columbia University,Computer Science,treatment
cebadc-dbe099-4c,Decomposition of the Diagonal,Columbia University-Mathematics,Columbia University,Mathematics,treatment
504cc0-16bec9-50,Joint Experimental and Theory Seminars in Particle Physics and Cosmology,Cornell University-Physics,Cornell University,Physics,control
9dfc3d-e02114-c7,Graphics-Vision Seminar,Cornell University-Computer Science,Cornell University,Computer Science,control
c58155-16d461-92,Quantum Theory Seminar,Cornell University-Physics,Cornell University,Physics,control
02adab-fbecf1-62,Geometry Seminar,Dartmouth College-Mathematics,Dartmouth College,Mathematics,treatment
98d306-642ad6-08,Seminar Series,Drexel University-Mechanical Engineering,Drexel University,Mechanical Engineering,treatment
37dc5e-c3be8f-2f,Higher Energy Physics Seminar,Florida State University-Physics,Florida State University,Physics,control
3fb6dd-7502fe-84,Logic Seminar,George Washington University-Mathematics,George Washington University,Mathematics,control
c4386b-a15a82-1f,Colloquium,George Washington University-Physics,George Washington University,Physics,treatment
