university,discipline,seminar_name,seminar_link
Arizona State University,Physics,Colloquia,https://physics.asu.edu/colloquia
Arizona State University,Physics,Biological Physics Seminar,https://cbp.asu.edu/content/biological-physics-seminar
Arizona State University,Physics,Wednesday Cosmology Seminar,https://cosmology.asu.edu/events/cosmology-seminars/wednesday
Arizona State University,Physics,Friday Cosmology Seminar,https://cosmology.asu.edu/events/cosmology-seminars/friday
Arizona State University,Physics,Theoretical Physics Seminar,https://www.public.asu.edu/~ishovkov/colloquium/index.html
Baylor University,Physics,Department Colloquium Series,https://physics.artsandsciences.baylor.edu/colloquia-and-seminars
Boston College,Physics,Physics Colloquium,https://www.bc.edu/bc-web/schools/morrissey/departments/physics/events.html
Boston University,Physics,Center for Space Physics Seminar,https://www.bu.edu/csp/events/seminar-series/
Boston University,Physics,Physics Department Colloquia,https://www.bu.edu/physics/events/?date=20230901&topic=8173
Boston University,Physics,Departmental Seminar,https://www.bu.edu/physics/events/?date=20230801&topic=8181
Boston University,Physics,Bio/CM Seminar,https://www.bu.edu/physics/events/?date=20230801&topic=8180
Boston University,Physics,HEE Seminar,https://www.bu.edu/physics/events/?date=20230801&topic=8183
Boston University,Physics,HET Seminar,https://www.bu.edu/physics/events/?date=20231101&topic=8184
Brandeis University,Physics,Physics Department Colloquia,https://www.brandeis.edu/physics/events/colloquia/index.html
Brandeis University,Physics,Quantum/Gravity Seminar Series,https://www.brandeis.edu/physics/hegt/seminars/index.html
Brandeis University,Physics,Materials Research Science and Engineering Center (MRSEC) Seminars,https://www.brandeis.edu/mrsec/events/seminars.html
Brown University,Physics,Colloquium,https://www.brown.edu/academics/physics/2023-2024-colloquium-schedule
Brown University,Physics,Condensed Matter & Biophysics Seminars,https://www.brown.edu/academics/physics/2023-2024-condensed-matter-biophysics-seminars
Brown University,Physics,High Energy Theory (HET) Seminars,https://sites.google.com/brown.edu/brown-het-seminars/home
California Institute of Technology,Physics,Physics Colloquium,https://pma.divisions.caltech.edu/news-events/physics-colloquium
California Institute of Technology,Physics,Chemical Physics Seminars,https://www.its.caltech.edu/~cps/
California Institute of Technology,Physics,CaJAGWR Seminars,https://cajagwr.caltech.edu/
Case Western Reserve University,Physics,Colloquia,https://physics.case.edu/colloquia/
Case Western Reserve University,Physics,Condensed Matter Seminars,https://physics.case.edu/event-archive/condensed-matter-seminars/
Case Western Reserve University,Physics,Particle/Astrophysics and CERCA Seminars,https://physics.case.edu/event-archive/particleastrophysics-and-cerca-seminars/
Case Western Reserve University,Physics,Biophysics/Biomath Colloquia,https://physics.case.edu/event-archive/biophysics-biomath-colloquia/
Clemson University,Physics,Colloquium,https://www.clemson.edu/science/academics/departments/physics/news-events/seminars.html
Clemson University,Physics,Biophysics Seminar,https://www.clemson.edu/science/academics/departments/physics/news-events/seminars.html
Clemson University,Physics,Atmospheric and space physics seminar,https://www.clemson.edu/science/academics/departments/physics/news-events/seminars.html
Colorado School of Mines,Physics,Colloquia,https://physics.mines.edu/colloquia/
Colorado State University,Physics,Colloquia,https://www.physics.colostate.edu/colloquia-table/
Columbia University,Physics,Physics Colloquia,https://www.physics.columbia.edu/content/physics-colloquia
Columbia University,Physics,Plasma Physics Colloquium,https://www.apam.columbia.edu/plasma-physics-colloquium-34
Columbia University,Physics,"Condensed Matter/Atomic, Molecular, and Optical Physics Seminars (AMO-QIS)",https://amophysics-columbia.com/amoqis-seminar
