university,discipline,condition,demographic,total_peer_speakers,total_demo_speakers,matched_speakers_count,pct_demo_from_database,any_speaker_from_database,num_peer_universities,num_demo_in_database
Arizona State University,Chemistry,control,female,16,1,0,0.0,0,40,0
Arizona State University,Chemistry,control,URM,16,1,0,0.0,0,40,41
Arizona State University,Chemistry,control,Black,16,0,0,0.0,0,40,18
Arizona State University,Chemistry,control,Hispanic,16,0,0,0.0,0,40,23
Arizona State University,Mathematics,control,female,6,1,0,0.0,0,40,0
Arizona State University,Mathematics,control,URM,6,0,0,0.0,0,40,32
Arizona State University,Mathematics,control,Black,6,0,0,0.0,0,40,11
Arizona State University,Mathematics,control,Hispanic,6,0,0,0.0,0,40,21
Arizona State University,Mechanical Engineering,treatment,female,13,2,0,0.0,0,40,0
Arizona State University,Mechanical Engineering,treatment,URM,13,3,0,0.0,0,40,37
Arizona State University,Mechanical Engineering,treatment,Black,13,1,0,0.0,0,40,20
Arizona State University,Mechanical Engineering,treatment,Hispanic,13,0,0,0.0,0,40,17
Arizona State University,Physics,treatment,female,20,3,0,0.0,0,40,0
Arizona State University,Physics,treatment,URM,20,0,0,0.0,0,40,34
Arizona State University,Physics,treatment,Black,20,0,0,0.0,0,40,11
Arizona State University,Physics,treatment,Hispanic,20,0,0,0.0,0,40,23
Auburn University,Chemistry,treatment,female,2,0,0,0.0,0,40,0
Auburn University,Chemistry,treatment,URM,2,0,0,0.0,0,40,24
Auburn University,Chemistry,treatment,Black,2,0,0,0.0,0,40,12
Auburn University,Chemistry,treatment,Hispanic,2,0,0,0.0,0,40,12
Auburn University,Computer Science,control,female,1,0,0,0.0,0,40,0
Auburn University,Computer Science,control,URM,1,0,0,0.0,0,40,17
Auburn University,Computer Science,control,Black,1,0,0,0.0,0,40,11
Auburn University,Computer Science,control,Hispanic,1,0,0,0.0,0,40,6
Auburn University,Mathematics,control,female,3,1,0,0.0,0,40,0
Auburn University,Mathematics,control,URM,3,1,0,0.0,0,40,20
Auburn University,Mathematics,control,Black,3,1,0,0.0,0,40,5
Auburn University,Mathematics,control,Hispanic,3,0,0,0.0,0,40,15
Auburn University,Mechanical Engineering,control,female,1,1,0,0.0,0,40,0
Auburn University,Mechanical Engineering,control,URM,1,0,0,0.0,0,40,24
Auburn University,Mechanical Engineering,control,Black,1,0,0,0.0,0,40,13
Auburn University,Mechanical Engineering,control,Hispanic,1,0,0,0.0,0,40,11
Baylor University,Chemistry,control,female,2,0,0,0.0,0,40,0
Baylor University,Chemistry,control,URM,2,0,0,0.0,0,40,25
Baylor University,Chemistry,control,Black,2,0,0,0.0,0,40,14
Baylor University,Chemistry,control,Hispanic,2,0,0,0.0,0,40,11
Baylor University,Mathematics,control,female,9,1,0,0.0,0,40,0
Baylor University,Mathematics,control,URM,9,1,0,0.0,0,40,28
Baylor University,Mathematics,control,Black,9,0,0,0.0,0,40,7
Baylor University,Mathematics,control,Hispanic,9,0,0,0.0,0,40,21
Binghamton University,Computer Science,control,female,0,0,0,0.0,0,40,0
Binghamton University,Computer Science,control,URM,0,0,0,0.0,0,40,17
Binghamton University,Computer Science,control,Black,0,0,0,0.0,0,40,13
Binghamton University,Computer Science,control,Hispanic,0,0,0,0.0,0,40,4
Binghamton University,Mathematics,control,female,1,0,0,0.0,0,40,0
Binghamton University,Mathematics,control,URM,1,1,0,0.0,0,40,24
Binghamton University,Mathematics,control,Black,1,0,0,0.0,0,40,13
Binghamton University,Mathematics,control,Hispanic,1,0,0,0.0,0,40,11
Binghamton University,Mechanical Engineering,control,female,0,0,0,0.0,0,40,0
Binghamton University,Mechanical Engineering,control,URM,0,0,0,0.0,0,40,27
Binghamton University,Mechanical Engineering,control,Black,0,0,0,0.0,0,40,17
Binghamton University,Mechanical Engineering,control,Hispanic,0,0,0,0.0,0,40,10
Boston College,Mathematics,control,female,2,0,0,0.0,0,40,0
Boston College,Mathematics,control,URM,2,0,0,0.0,0,40,36
Boston College,Mathematics,control,Black,2,0,0,0.0,0,40,12
Boston College,Mathematics,control,Hispanic,2,0,0,0.0,0,40,24
Boston College,Physics,treatment,female,4,1,0,0.0,0,40,0
Boston College,Physics,treatment,URM,4,2,0,0.0,0,40,32
Boston College,Physics,treatment,Black,4,1,0,0.0,0,40,13
Boston College,Physics,treatment,Hispanic,4,0,0,0.0,0,40,19
Boston University,Chemistry,treatment,female,12,2,0,0.0,0,40,0
Boston University,Chemistry,treatment,URM,12,0,0,0.0,0,40,38
Boston University,Chemistry,treatment,Black,12,0,0,0.0,0,40,17
Boston University,Chemistry,treatment,Hispanic,12,0,0,0.0,0,40,21
Boston University,Computer Science,treatment,female,6,1,0,0.0,0,40,0
Boston University,Computer Science,treatment,URM,6,0,0,0.0,0,40,39
Boston University,Computer Science,treatment,Black,6,0,0,0.0,0,40,24
Boston University,Computer Science,treatment,Hispanic,6,0,0,0.0,0,40,15
Boston University,Mathematics,treatment,female,14,6,0,0.0,0,40,0
Boston University,Mathematics,treatment,URM,14,2,0,0.0,0,40,28
Boston University,Mathematics,treatment,Black,14,1,0,0.0,0,40,11
Boston University,Mathematics,treatment,Hispanic,14,0,0,0.0,0,40,17
Boston University,Mechanical Engineering,control,female,2,1,0,0.0,0,40,0
Boston University,Mechanical Engineering,control,URM,2,1,0,0.0,0,40,51
Boston University,Mechanical Engineering,control,Black,2,1,0,0.0,0,40,31
Boston University,Mechanical Engineering,control,Hispanic,2,0,0,0.0,0,40,20
Boston University,Physics,control,female,9,2,0,0.0,0,40,0
Boston University,Physics,control,URM,9,0,0,0.0,0,40,46
Boston University,Physics,control,Black,9,0,0,0.0,0,40,12
Boston University,Physics,control,Hispanic,9,0,0,0.0,0,40,34
Brandeis University,Computer Science,control,female,1,0,0,0.0,0,40,0
Brandeis University,Computer Science,control,URM,1,0,0,0.0,0,40,31
Brandeis University,Computer Science,control,Black,1,0,0,0.0,0,40,12
Brandeis University,Computer Science,control,Hispanic,1,0,0,0.0,0,40,19
Brandeis University,Mathematics,treatment,female,11,4,0,0.0,0,40,0
Brandeis University,Mathematics,treatment,URM,11,0,0,0.0,0,40,38
Brandeis University,Mathematics,treatment,Black,11,0,0,0.0,0,40,12
Brandeis University,Mathematics,treatment,Hispanic,11,0,0,0.0,0,40,26
Brandeis University,Physics,treatment,female,1,1,0,0.0,0,40,0
Brandeis University,Physics,treatment,URM,1,0,0,0.0,0,40,33
Brandeis University,Physics,treatment,Black,1,0,0,0.0,0,40,10
Brandeis University,Physics,treatment,Hispanic,1,0,0,0.0,0,40,23
Brown University,Chemistry,control,female,13,4,0,0.0,0,40,0
Brown University,Chemistry,control,URM,13,1,0,0.0,0,40,31
Brown University,Chemistry,control,Black,13,1,0,0.0,0,40,14
Brown University,Chemistry,control,Hispanic,13,0,0,0.0,0,40,17
Brown University,Computer Science,control,female,4,0,0,0.0,0,40,0
Brown University,Computer Science,control,URM,4,0,0,0.0,0,40,34
Brown University,Computer Science,control,Black,4,0,0,0.0,0,40,20
Brown University,Computer Science,control,Hispanic,4,0,0,0.0,0,40,14
Brown University,Mathematics,control,female,41,4,0,0.0,0,40,0
Brown University,Mathematics,control,URM,41,2,0,0.0,0,40,27
Brown University,Mathematics,control,Black,41,1,0,0.0,0,40,12
Brown University,Mathematics,control,Hispanic,41,0,0,0.0,0,40,15
Brown University,Mechanical Engineering,treatment,female,3,0,0,0.0,0,40,0
Brown University,Mechanical Engineering,treatment,URM,3,0,0,0.0,0,40,59
Brown University,Mechanical Engineering,treatment,Black,3,0,0,0.0,0,40,39
Brown University,Mechanical Engineering,treatment,Hispanic,3,0,0,0.0,0,40,20
Brown University,Physics,treatment,female,8,2,0,0.0,0,40,0
Brown University,Physics,treatment,URM,8,0,0,0.0,0,40,41
Brown University,Physics,treatment,Black,8,0,0,0.0,0,40,10
Brown University,Physics,treatment,Hispanic,8,0,0,0.0,0,40,31
California Institute of Technology,Chemistry,control,female,19,6,0,0.0,0,40,0
California Institute of Technology,Chemistry,control,URM,19,0,0,0.0,0,40,32
California Institute of Technology,Chemistry,control,Black,19,0,0,0.0,0,40,16
California Institute of Technology,Chemistry,control,Hispanic,19,0,0,0.0,0,40,16
California Institute of Technology,Computer Science,control,female,4,0,0,0.0,0,40,0
California Institute of Technology,Computer Science,control,URM,4,0,0,0.0,0,40,37
California Institute of Technology,Computer Science,control,Black,4,0,0,0.0,0,40,26
California Institute of Technology,Computer Science,control,Hispanic,4,0,0,0.0,0,40,11
California Institute of Technology,Mathematics,control,female,36,5,0,0.0,0,40,0
California Institute of Technology,Mathematics,control,URM,36,1,0,0.0,0,40,36
California Institute of Technology,Mathematics,control,Black,36,0,0,0.0,0,40,15
California Institute of Technology,Mathematics,control,Hispanic,36,0,0,0.0,0,40,21
California Institute of Technology,Mechanical Engineering,treatment,female,5,0,0,0.0,0,40,0
California Institute of Technology,Mechanical Engineering,treatment,URM,5,1,0,0.0,0,40,58
California Institute of Technology,Mechanical Engineering,treatment,Black,5,1,0,0.0,0,40,40
California Institute of Technology,Mechanical Engineering,treatment,Hispanic,5,0,0,0.0,0,40,18
California Institute of Technology,Physics,control,female,20,2,0,0.0,0,40,0
California Institute of Technology,Physics,control,URM,20,1,0,0.0,0,40,50
California Institute of Technology,Physics,control,Black,20,1,0,0.0,0,40,17
California Institute of Technology,Physics,control,Hispanic,20,0,0,0.0,0,40,33
Carnegie Mellon University,Chemistry,control,female,2,0,0,0.0,0,40,0
Carnegie Mellon University,Chemistry,control,URM,2,0,0,0.0,0,40,30
Carnegie Mellon University,Chemistry,control,Black,2,0,0,0.0,0,40,15
Carnegie Mellon University,Chemistry,control,Hispanic,2,0,0,0.0,0,40,15
Carnegie Mellon University,Computer Science,control,female,15,3,0,0.0,0,40,0
Carnegie Mellon University,Computer Science,control,URM,15,1,0,0.0,0,40,32
Carnegie Mellon University,Computer Science,control,Black,15,0,0,0.0,0,40,21
Carnegie Mellon University,Computer Science,control,Hispanic,15,0,0,0.0,0,40,11
Carnegie Mellon University,Mathematics,treatment,female,18,2,0,0.0,0,40,0
Carnegie Mellon University,Mathematics,treatment,URM,18,2,0,0.0,0,40,31
