university,discipline,condition,shown_database_size,shown_black_faculty,total_speakers,speakers_from_shown_db,percent_from_shown_db,used_shown_db,black_speakers,black_from_shown_db
Arizona State University,Mathematics,control,32,11,50,0,0.0,False,0,0
Arizona State University,Physics,treatment,32,9,81,0,0.0,False,2,0
Arizona State University,Chemistry,control,29,12,72,0,0.0,False,4,0
Arizona State University,Computer Science,treatment,0,0,0,0,0.0,False,0,0
Arizona State University,Mechanical Engineering,treatment,26,15,49,0,0.0,False,4,0
Auburn University,Mathematics,control,31,9,87,0,0.0,False,2,0
Auburn University,Mechanical Engineering,control,11,7,4,0,0.0,False,0,0
Auburn University,Chemistry,treatment,22,11,31,0,0.0,False,0,0
Auburn University,Computer Science,control,19,12,12,0,0.0,False,0,0
Baylor University,Mathematics,control,29,10,35,0,0.0,False,1,0
Baylor University,Physics,control,0,0,0,0,0.0,False,0,0
Baylor University,Chemistry,control,32,12,10,0,0.0,False,0,0
Binghamton University,Mathematics,control,28,10,124,0,0.0,False,1,0
Binghamton University,Computer Science,control,16,10,14,0,0.0,False,0,0
Binghamton University,Mechanical Engineering,control,16,8,6,0,0.0,False,0,0
Boston College,Mathematics,control,28,10,39,0,0.0,False,1,0
Boston College,Physics,treatment,26,11,23,0,0.0,False,1,0
Boston University,Physics,control,37,9,68,0,0.0,False,1,0
Boston University,Mathematics,treatment,33,11,76,0,0.0,False,2,0
Boston University,Computer Science,treatment,21,13,50,0,0.0,False,0,0
Boston University,Mechanical Engineering,control,17,10,13,0,0.0,False,1,0
Boston University,Chemistry,treatment,29,12,33,0,0.0,False,1,0
Brandeis University,Physics,treatment,27,8,41,0,0.0,False,1,0
Brandeis University,Computer Science,control,15,10,6,0,0.0,False,0,0
Brandeis University,Mathematics,treatment,30,11,65,0,0.0,False,4,0
Brown University,Physics,treatment,38,10,36,0,0.0,False,1,0
Brown University,Mechanical Engineering,treatment,28,16,15,0,0.0,False,0,0
Brown University,Mathematics,control,29,13,169,0,0.0,False,2,0
Brown University,Chemistry,control,29,12,71,1,0.014084507042253521,True,3,0
Brown University,Computer Science,control,23,12,33,0,0.0,False,0,0
California Institute of Technology,Physics,control,30,11,43,0,0.0,False,1,0
California Institute of Technology,Chemistry,control,12,8,52,0,0.0,False,0,0
California Institute of Technology,Mechanical Engineering,treatment,39,26,13,0,0.0,False,1,0
California Institute of Technology,Mathematics,control,24,11,79,0,0.0,False,2,0
California Institute of Technology,Computer Science,control,23,12,6,0,0.0,False,0,0
Carnegie Mellon University,Computer Science,control,14,9,144,0,0.0,False,2,0
