seminar_id,university,discipline,seminar_name,treatment,clicked,num_click_sources
003ac8-0efc4e-2f,Binghamton University,Mathematics,Arithmetic Seminar,0,1,1
005d0a-caf943-2a,Montana State University,Mathematics,Applied Mathematics Seminars,1,0,0
008535-f3cced-21,University of Wisconsin-Madison,Mathematics,Logic,0,1,1
008cef-9bdf9c-0d,University of Wisconsin-Madison,Physics,Plasma Theory Seminar,0,0,0
00aa10-e8beff-4c,University of Georgia,Mathematics,Geometry,1,0,0
00b316-d7200e-fd,"University of California, Irvine",Mathematics,Nonlinear PDEs Seminar,0,1,1
011abf-b70a67-65,Rutgers University-New Brunswick,Physics,Geometry & Physics Seminar,0,1,1
011ce3-f043e2-21,Kansas State University,Physics,Colloquium,1,1,2
011e14-875572-14,University at Buffalo,Computer Science,CSE Symposia,0,0,0
01dcca-7bbb99-e5,Stony Brook University,Physics,Nuclear Theory Seminar,1,0,0
01de47-a88483-6e,Ohio University,Physics,Nanoscale Quantum Phenomena Institute Seminar,1,1,1
01fa01-187e22-7b,Duke University,Mathematics,Colloquium,0,0,0
02178a-edb0b8-b1,"University of California, Irvine",Physics,Particle Physics Seminar,1,0,0
022725-6d33b2-9b,Louisiana State University,Mathematics,Control and Optimization Seminar,1,1,1
024587-53f55d-3d,Colorado State University,Mathematics,Number Theory Lab,1,1,2
024600-71da61-b1,University of Memphis,Mathematics,Combinatorics Seminar,0,0,0
0246a9-3c736f-77,Clemson University,Mathematics,SMSS Seminar,1,0,0
0248f3-7f4441-14,Tufts University,Mathematics,Geometric Group Theory and Topology Seminar,0,0,0
028dbb-5175b2-50,University of Virginia,Mathematics,Number Theory Seminar,0,1,1
02bc35-6c731d-77,Carnegie Mellon University,Computer Science,Systems Design and Implementation (SDI) Seminar Series,0,1,1
03392d-63bd38-9a,University of Connecticut,Mathematics,Mathematics Colloquium,1,0,0
0343da-985cf4-0e,University of Chicago,Mathematics,Geometry/Topology Seminar,0,1,2
037913-25d3de-fa,University of Washington,Mathematics,Number Theory Seminar,1,1,1
037aee-5187c5-4b,Dartmouth College,Mathematics,Topology Seminar,1,1,1
039b0a-0cb93e-f6,Arizona State University,Mathematics,Data-Oriented Mathematical and Statistical Sciences (DoMSS) seminar,0,1,2
03a7c7-525fe4-c2,University of Nebraska-Lincoln,Chemistry,Chemistry Colloquium,1,0,0
03fa38-199b92-45,University of Colorado Boulder,Mathematics,Geometry Analysis Seminar,0,1,1
045e8a-441431-f5,"University of California, Davis",Mathematics,Algebra & Discrete Mathematics Seminar,0,1,2
048afd-b56b8b-7b,University of Cincinnati,Mechanical Engineering,Speakers,0,0,0
04b408-f784d7-ac,Texas A&M University,Mathematics,Number Theory Seminar,1,0,0
058042-a002d6-1f,University of Illinois Chicago,Physics,Physics Seminar,1,0,0
058e33-5258a5-fd,Boston University,Physics,Bio/CM Seminar,0,0,0
059130-ac3c3e-80,North Carolina State University,Mathematics,Colloquium,1,1,1
059b2e-0ac028-51,North Carolina State University,Mathematics,Geometry and Topology Seminar,1,1,1
05feb1-c7c890-af,Binghamton University,Mathematics,Combinatorics Seminar,0,0,0
