seminar_id,university,discipline,department,condition,total_speakers,speakers_with_demographics,num_urm,num_black,num_hispanic,num_native_american,num_female,num_male,num_white,num_asian,pct_urm,pct_black,pct_hispanic,pct_native_american,pct_female,pct_male,pct_white,pct_asian,has_any_urm,has_any_black,has_any_hispanic,has_any_native_american,has_any_female,has_fall_speakers,has_spring_speakers,fall_total_speakers,fall_speakers_with_demographics,fall_num_urm,fall_num_black,fall_num_hispanic,fall_num_female,fall_pct_urm,fall_pct_black,fall_pct_hispanic,fall_pct_female,spring_total_speakers,spring_speakers_with_demographics,spring_num_urm,spring_num_black,spring_num_hispanic,spring_num_female,spring_pct_urm,spring_pct_black,spring_pct_hispanic,spring_pct_female,num_speakers_with_phd_year,pct_speakers_with_phd_year,mean_years_from_phd,median_years_from_phd,min_years_from_phd,max_years_from_phd,num_current_students,pct_current_students,treatment,department_std,bin_category,batch_number,total_faculty,urm_faculty,women_faculty,frac_urm_faculty,frac_women_faculty,dept_ranking,general_ranking,missing_dept_rank,num_recipients,total_peer_departments,total_urm_peer_faculty,bin_7_11,bin_1_3,bin_17_26,bin_3_5,bin_5_7,bin_0_1,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,disc_mathematics,disc_physics,disc_computer_science,disc_mechanical_engineering,bin_11_17,num_non_urm,fall_num_non_urm,spring_num_non_urm,num_non_black,num_non_hispanic,num_non_female,fall_num_non_black,fall_num_non_hispanic,fall_num_non_female,spring_num_non_black,spring_num_non_hispanic,spring_num_non_female,pct_non_urm,fall_pct_non_urm,spring_pct_non_urm,has_any_non_urm,fall_has_any_urm,spring_has_any_urm,fall_has_any_non_urm,spring_has_any_non_urm,fall_has_any_black,spring_has_any_black,fall_has_any_hispanic,spring_has_any_hispanic,fall_has_any_female,spring_has_any_female,pct_speakers,has_speakers,pct_urm_female,approx_num_urm_female,has_any_urm_female,pct_black_female,approx_num_black_female,has_any_black_female,pct_black_male,approx_num_black_male,has_any_black_male,pct_hispanic_female,approx_num_hispanic_female,has_any_hispanic_female,pct_hispanic_male,approx_num_hispanic_male,has_any_hispanic_male
003ac8-0efc4e-2f,Binghamton University,Mathematics,Binghamton University-Mathematics,control,20,20,0,0,0,0,3,17,13,7,0,0,0,0,15,85,65,35,0,0,0,0,1,1,1,10,10,0,0,0,0,0,0,0,0,10,10,0,0,0,3,0,0,0,30,16,80,17.5,18,1,31,4,25,0,Binghamton University-Mathematics,"(7,11]",9,28,1,4,0.035714286,0.142857143,104,67,0,9,40,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,10,10,20,20,17,10,10,10,10,10,7,100,100,100,1,0,0,1,1,0,0,0,0,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005d0a-caf943-2a,Montana State University,Mathematics,Montana State University-Mathematics,treatment,22,22,2,1,1,0,2,20,16,4,9.090909091,4.545454545,4.545454545,0,9.090909091,90.90909091,72.72727273,18.18181818,1,1,1,0,1,1,1,11,11,0,0,0,2,0,0,0,18.18181818,11,11,2,1,1,0,18.18181818,9.090909091,9.090909091,0,16,72.72727273,14.375,14.5,3,30,8,50,1,Montana State University-Mathematics,"(1,3]",7,25,1,11,0.04,0.44,125,141,0,2,40,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20,11,9,21,21,20,11,11,9,10,10,11,90.90909091,100,81.81818182,1,0,1,1,1,0,1,0,1,1,0,100,1,0.826446281,0,0,0.41322314,0,0,4.132231405,1,1,0.41322314,0,0,4.132231405,1,1
008535-f3cced-21,University of Wisconsin-Madison,Mathematics,University of Wisconsin-Madison-Mathematics,control,17,17,2,0,2,0,0,17,10,5,11.76470588,0,11.76470588,0,0,100,58.82352941,29.41176471,1,0,1,0,0,1,1,14,14,2,0,2,0,14.28571429,0,14.28571429,0,3,3,0,0,0,0,0,0,0,0,16,94.11764706,29,31,9,39,7,43.75,0,University of Wisconsin-Madison-Mathematics,"(11,17]",4,58,4,11,0.068965517,0.189655172,19,38,0,15,40,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,15,12,3,17,15,17,14,12,14,3,3,3,88.23529412,85.71428571,100,1,1,0,1,1,0,0,1,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,11.76470588,2,1
008cef-9bdf9c-0d,University of Wisconsin-Madison,Physics,University of Wisconsin-Madison-Physics,control,3,3,0,0,0,0,0,3,2,1,0,0,0,0,0,100,66.66666667,33.33333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,33.33333333,5,5,5,5,0,0,0,University of Wisconsin-Madison-Physics,"(7,11]",10,54,0,8,0,0.148148148,27,38,0,4,40,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,3,3,3,0,0,0,3,3,3,100,0,100,1,0,0,0,1,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00aa10-e8beff-4c,University of Georgia,Mathematics,University of Georgia-Mathematics,treatment,21,21,0,0,0,0,0,21,12,9,0,0,0,0,0,100,57.14285714,42.85714286,0,0,0,0,0,1,1,12,12,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,18,85.71428571,14,7,1,41,3,16.66666667,1,University of Georgia-Mathematics,"(7,11]",8,33,1,7,0.03030303,0.212121212,60,48,0,2,40,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21,12,9,21,21,21,12,12,12,9,9,9,100,100,100,1,0,0,1,1,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b316-d7200e-fd,"University of California, Irvine",Mathematics,"University of California, Irvine-Mathematics",control,20,20,2,1,1,0,3,17,10,8,10,5,5,0,15,85,50,40,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,20,2,1,1,3,10,5,5,15,17,85,10.6875,6,1,35,1,5.882352941,0,"University of California, Irvine-Mathematics","(11,17]",9,43,3,4,0.069767442,0.093023256,37,34,0,2,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,18,0,18,19,19,17,0,0,0,19,19,17,90,0,90,1,0,1,0,1,0,1,0,1,0,1,100,1,1.5,0,0,0.75,0,0,4.25,1,1,0.75,0,0,4.25,1,1
011abf-b70a67-65,Rutgers University-New Brunswick,Physics,Rutgers University-New Brunswick-Physics,control,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,100,19.4,17,12,27,0,0,0,Rutgers University-New Brunswick-Physics,"(17,26]",10,7,0,1,0,0.142857143,32,40,0,12,40,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,5,5,5,0,0,0,5,5,5,100,0,100,1,0,0,0,1,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011ce3-f043e2-21,Kansas State University,Physics,Kansas State University-Physics,treatment,21,21,0,0,0,0,5,16,16,5,0,0,0,0,23.80952381,76.19047619,76.19047619,23.80952381,0,0,0,0,1,1,1,9,9,0,0,0,2,0,0,0,22.22222222,12,12,0,0,0,3,0,0,0,25,18,85.71428571,20.94444444,21.5,2,47,0,0,1,Kansas State University-Physics,"(1,3]",1,26,0,1,0,0.038461538,87,113,0,4,40,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21,9,12,21,21,16,9,9,7,12,12,9,100,100,100,1,0,0,1,1,0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011e14-875572-14,University at Buffalo,Computer Science,University at Buffalo-Computer Science,control,9,9,0,0,0,0,2,7,5,4,0,0,0,0,22.22222222,77.77777778,55.55555556,44.44444444,0,0,0,0,1,1,0,9,9,0,0,0,2,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,0,9,100,16.88888889,16,5,27,0,0,0,University at Buffalo-Computer Science,"(1,3]",8,42,1,6,0.023809524,0.142857143,62,71,0,2,40,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,9,0,9,9,7,9,9,7,0,0,0,100,100,0,1,0,0,1,0,0,0,0,0,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01dcca-7bbb99-e5,Stony Brook University,Physics,Stony Brook University-Physics,treatment,15,15,0,0,0,0,2,13,13,2,0,0,0,0,13.33333333,86.66666667,86.66666667,13.33333333,0,0,0,0,1,1,1,8,8,0,0,0,1,0,0,0,12.5,7,7,0,0,0,1,0,0,0,14.28571429,12,80,15.7,8.5,2,50,2,16.66666667,1,Stony Brook University-Physics,"(11,17]",2,74,2,11,0.027027027,0.148648649,25,55,0,10,40,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,15,8,7,15,15,13,8,8,7,7,7,6,100,100,100,1,0,0,1,1,0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
