seminar_id,university,discipline,condition,total_speakers,unique_speakers,speakers_from_db,urm_from_db,black_from_db,hispanic_from_db,female_from_db,pct_from_db,pct_urm_from_db,pct_black_from_db,pct_hispanic_from_db,pct_female_from_db,any_from_db,any_urm_from_db,any_black_from_db,any_hispanic_from_db,any_female_from_db
003ac8-0efc4e-2f,Binghamton University,Mathematics,control,20,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
005d0a-caf943-2a,Montana State University,Mathematics,treatment,22,22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
008535-f3cced-21,University of Wisconsin-Madison,Mathematics,control,17,14,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
008cef-9bdf9c-0d,University of Wisconsin-Madison,Physics,control,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
00aa10-e8beff-4c,University of Georgia,Mathematics,treatment,21,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
00b316-d7200e-fd,"University of California, Irvine",Mathematics,control,20,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
011abf-b70a67-65,Rutgers University-New Brunswick,Physics,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
011ce3-f043e2-21,Kansas State University,Physics,treatment,21,14,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
011e14-875572-14,University at Buffalo,Computer Science,control,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
01dcca-7bbb99-e5,Stony Brook University,Physics,treatment,11,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
01de47-a88483-6e,Ohio University,Physics,treatment,11,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
01fa01-187e22-7b,Duke University,Mathematics,control,4,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
02178a-edb0b8-b1,"University of California, Irvine",Physics,treatment,25,25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
022725-6d33b2-9b,Louisiana State University,Mathematics,treatment,24,24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
024587-53f55d-3d,Colorado State University,Mathematics,treatment,23,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
024600-71da61-b1,University of Memphis,Mathematics,control,4,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0246a9-3c736f-77,Clemson University,Mathematics,treatment,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0248f3-7f4441-14,Tufts University,Mathematics,control,19,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
028dbb-5175b2-50,University of Virginia,Mathematics,control,26,22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
02bc35-6c731d-77,Carnegie Mellon University,Computer Science,control,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
03392d-63bd38-9a,University of Connecticut,Mathematics,treatment,10,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0343da-985cf4-0e,University of Chicago,Mathematics,control,13,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
037913-25d3de-fa,University of Washington,Mathematics,treatment,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
037aee-5187c5-4b,Dartmouth College,Mathematics,treatment,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
039b0a-0cb93e-f6,Arizona State University,Mathematics,control,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
03a7c7-525fe4-c2,University of Nebraska-Lincoln,Chemistry,treatment,26,26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
03fa38-199b92-45,University of Colorado Boulder,Mathematics,control,16,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
045e8a-441431-f5,"University of California, Davis",Mathematics,control,28,22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
048afd-b56b8b-7b,University of Cincinnati,Mechanical Engineering,control,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
04b408-f784d7-ac,Texas A&M University,Mathematics,treatment,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
058042-a002d6-1f,University of Illinois Chicago,Physics,treatment,57,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
058e33-5258a5-fd,Boston University,Physics,control,7,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
059130-ac3c3e-80,North Carolina State University,Mathematics,treatment,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
059b2e-0ac028-51,North Carolina State University,Mathematics,treatment,7,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
05feb1-c7c890-af,Binghamton University,Mathematics,control,36,34,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0691a6-6ee969-47,Yale University,Computer Science,control,6,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
06af24-486e60-04,University of Massachusetts Amherst,Mathematics,control,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
06d591-975592-48,New York University,Mathematics,control,13,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
06e46a-f64c31-d5,"University of California, San Diego",Mathematics,treatment,14,14,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
070c95-519ed4-ac,University of Illinois Urbana-Champaign,Physics,treatment,26,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
076f84-2e12fe-78,University of Wisconsin-Madison,Chemistry,treatment,11,11,1,1,1,0,0,9.090909090909092,9.090909090909092,9.090909090909092,0.0,0.0,1,1,1,0,0
078e81-afde7a-ca,Syracuse University,Physics,treatment,13,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
07a019-01ca44-a1,Brown University,Physics,treatment,17,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
07b159-e11b6a-30,University of Tennessee,Chemistry,control,10,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0827ad-65389c-d1,University of Michigan,Mathematics,treatment,31,24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0829eb-fb5608-35,Cornell University,Computer Science,control,29,29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
082a7c-cef7a5-58,Kent State University,Mathematics,control,7,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
084aec-dcee6d-fb,Purdue University,Physics,control,13,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
086a11-532139-0c,"University of California, Los Angeles",Mathematics,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
08783c-af46b5-41,New York University,Mathematics,control,27,27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
089265-dd6228-06,University of Alabama in Huntsville,Mathematics,control,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0895f9-067ce7-da,Purdue University,Physics,control,29,27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
08af46-bd4f45-0b,University at Buffalo,Mathematics,control,7,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
08b2ad-871b53-22,University of North Carolina at Chapel Hill,Mathematics,treatment,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
08de03-74568d-14,Colorado School of Mines,Physics,control,17,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
08f577-df1d13-90,University of Wisconsin-Madison,Mathematics,control,25,25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
091e6a-43893d-19,Rutgers University-New Brunswick,Mathematics,control,17,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
09516c-97650f-f5,Duke University,Mathematics,control,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0966b8-833dd9-cb,University of Houston,Mathematics,treatment,29,22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0981bb-fbb99c-8f,"University of California, Santa Cruz",Physics,treatment,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
09adbe-115b9f-19,Princeton University,Mathematics,control,30,28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
09b181-e94a8e-ed,University of Wisconsin-Madison,Chemistry,treatment,4,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0a3ef5-5c69a6-2b,University of Wisconsin-Madison,Physics,control,30,26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0a7e6f-67877c-29,Princeton University,Mathematics,control,21,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0a9d77-f684ff-8a,"University of California, Irvine",Physics,treatment,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0ab2fa-d49365-83,Columbia University,Mathematics,treatment,25,22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0ac71a-1f1cf9-c8,Cornell University,Mathematics,control,14,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0ad6ec-dc61be-74,Virginia Tech,Mathematics,control,19,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0ae6a3-c63ba2-2a,Georgetown University,Physics,control,19,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0b179f-1a779c-6d,Ohio State University,Mathematics,treatment,10,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0b2346-47908a-b7,Binghamton University,Mathematics,control,17,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0b50a1-c7cfd7-82,Brandeis University,Physics,treatment,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0b98ab-7656c6-1d,University of Chicago,Chemistry,treatment,55,54,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0bc297-6655d5-c0,"University of California, Riverside",Computer Science,control,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
