database_name,database_university,database_race,database_gender,database_title,database_discipline,database_research,matched,num_matches,speaker_name,speaker_university,speaker_race_identified,seminar_university,seminar_discipline,seminar_condition,seminar_date,semester
Carlos E. Manzanares,Baylor University,Hispanic,Man,Professor,Chemistry,"physical chemistry, the study of highly excited vibrational states of polyatomic molecules to obtain information about molecular structure, vibrational energy levels, and intramolecular dynamics",No,0,,,,,,,,
Arturo Vegas,Boston University,Hispanic,Man,Assistant Professor,Chemistry,"drug delivery, cancer therapeutics",No,0,,,,,,,,
Malika Jeffriesel,Boston University,Black,Woman,Professor,Chemistry,"organic electronics, polymer chemistry",No,0,,,,,,,,
Rosina M. Georgiadis,Boston University,Hispanic,Woman,Associate Professor,Chemistry,surface chemistry,No,0,,,,,,,,
Gabriel Gomes,Carnegie Mellon University,Hispanic,Man,Assistant Professor,Chemistry,"theoretical chemistry, ai/cs for chemistry, organic materials",Yes,3,,,,,,,,
Gabriel Gomes,Carnegie Mellon University,Hispanic,Man,Assistant Professor,Chemistry,"theoretical chemistry, ai/cs for chemistry, organic materials",Match Detail,,Danielle Gomes Rodrigues,George Washington University,latino,George Washington University,Chemistry,treatment,5/2/2025,Fall
Gabriel Gomes,Carnegie Mellon University,Hispanic,Man,Assistant Professor,Chemistry,"theoretical chemistry, ai/cs for chemistry, organic materials",Match Detail,,Rog̩rio Gomes dos Santos,Louisiana State University,latino,Louisiana State University,Chemistry,treatment,11/1/2024 0:00,Fall
Gabriel Gomes,Carnegie Mellon University,Hispanic,Man,Assistant Professor,Chemistry,"theoretical chemistry, ai/cs for chemistry, organic materials",Match Detail,,Fabio Gomes,Virginia Commonwealth University,latino,Michigan State University,Chemistry,treatment,3/14/2025,Spring
Isaac Garcia Bosch,Carnegie Mellon University,Hispanic,Man,Associate Professor,Chemistry,inorganic chemistry,Yes,1,,,,,,,,
Isaac Garcia Bosch,Carnegie Mellon University,Hispanic,Man,Associate Professor,Chemistry,inorganic chemistry,Match Detail,,Isaac Garcia-Bosch,Carnegie Mellon University,latino,University of Cincinnati,Chemistry,control,10/4/2024 0:00,Fall
Carlos E. Crespo-Hernandez,Case Western Reserve University,Hispanic,Man,Professor And Associate Dean For Research,Chemistry,"photochemistry, spectroscopy",No,0,,,,,,,,
Daniel A. Scherson,Case Western Reserve University,Hispanic,Man,Frank Hovorka Professor,Chemistry,"electrochemistry, energy storage, materials",No,0,,,,,,,,
Carlos D. Garcia Perez,Clemson University,Hispanic,Man,Professor,Chemistry,"advance the understanding and applicability of microfluidic devices, nanomaterials, and electrochemical processes",Yes,1,,,,,,,,
Carlos D. Garcia Perez,Clemson University,Hispanic,Man,Professor,Chemistry,"advance the understanding and applicability of microfluidic devices, nanomaterials, and electrochemical processes",Match Detail,,Monika Perez,Colorado State University,white,Colorado State University,Chemistry,treatment,5/6/2025,Fall
Ivan A. Moreno-Hernandez,Duke University,Hispanic,Man,Assistant Professor,Chemistry,"electrocatalysis, renewable energy",Yes,2,,,,,,,,
Ivan A. Moreno-Hernandez,Duke University,Hispanic,Man,Assistant Professor,Chemistry,"electrocatalysis, renewable energy",Match Detail,,Ivan A. Moreno-Hernandez,Duke University,latino,University of North Carolina at Chapel Hill,Chemistry,control,4/22/2025,Fall
Ivan A. Moreno-Hernandez,Duke University,Hispanic,Man,Assistant Professor,Chemistry,"electrocatalysis, renewable energy",Match Detail,,Ivan Moreno-Hernandez,Duke University,latino,University of North Carolina at Chapel Hill,Chemistry,control,4/22/2025,Spring
Francesco Evangelista,Emory University,Hispanic,Man,Professor,Chemistry,"theoretical chemistry, quantum computing",No,0,,,,,,,,
Raphael F. Ribeiro,Emory University,Hispanic,Man,Assistant Professor,Chemistry,"theoretical chemistry, condensed matter physics",No,0,,,,,,,,
Francisco Alberto Fernandez-Lima,Florida International University,Hispanic,Man,Professor,Chemistry,"mass spectrometry, proteomics",Yes,1,,,,,,,,
Francisco Alberto Fernandez-Lima,Florida International University,Hispanic,Man,Professor,Chemistry,"mass spectrometry, proteomics",Match Detail,,Francisco Alberto Fernandez-Lima,Florida International University,latino,University of Wisconsin-Madison,Chemistry,treatment,2025-05-01,Fall
Natalia Soares Quinete,Florida International University,Hispanic,Woman,Assistant Professor,Chemistry,"analytical chemistry, environmental monitoring",Yes,1,,,,,,,,
Natalia Soares Quinete,Florida International University,Hispanic,Woman,Assistant Professor,Chemistry,"analytical chemistry, environmental monitoring",Match Detail,,Natalia Soares Quinete,Florida International University,latino,Florida International University,Chemistry,treatment,2/11/2025,Fall
Ramon Lopez De La Vega,Florida International University,Hispanic,Man,Associate Professor,Chemistry,"inorganic chemistry, kinetics",No,0,,,,,,,,
Mosissa Fayissa,George Mason University,Black,Man,Assistant Professor,Chemistry,"fluorescence based nitric oxide (no) sensor using copper (ii) complexes of tridentate ligands both in the liquid and solid states, nanotechnology of the sensing materials for better understanding of sensor-analyte interactions at the interface",No,0,,,,,,,,
Erik A. Rodriguez,George Washington University,Hispanic,Man,Assistant Professor,Chemistry,"fluorescent proteins, fluorescence imaging, bioengineering, biochemistry, biophysics, chemical biology, biosensors, imaging probes",Yes,6,,,,,,,,
Erik A. Rodriguez,George Washington University,Hispanic,Man,Assistant Professor,Chemistry,"fluorescent proteins, fluorescence imaging, bioengineering, biochemistry, biophysics, chemical biology, biosensors, imaging probes",Match Detail,,Luis Ortiz-Rodriguez,University of Michigan,latino,Case Western Reserve University,Chemistry,control,3/6/2025,Fall
Erik A. Rodriguez,George Washington University,Hispanic,Man,Assistant Professor,Chemistry,"fluorescent proteins, fluorescence imaging, bioengineering, biochemistry, biophysics, chemical biology, biosensors, imaging probes",Match Detail,,Efrain Rodriguez,University of Maryland,latino,Iowa State University,Chemistry,control,1/31/2025,Spring
Erik A. Rodriguez,George Washington University,Hispanic,Man,Assistant Professor,Chemistry,"fluorescent proteins, fluorescence imaging, bioengineering, biochemistry, biophysics, chemical biology, biosensors, imaging probes",Match Detail,,Gabriel Rodriguez,ORG: Ginkgo Bioworks,latino,"University of California, Davis",Chemistry,treatment,10/25/2024,Fall
Erik A. Rodriguez,George Washington University,Hispanic,Man,Assistant Professor,Chemistry,"fluorescent proteins, fluorescence imaging, bioengineering, biochemistry, biophysics, chemical biology, biosensors, imaging probes",Match Detail,,Michael Rodriguez,University of North Carolina at Chapel Hill,white,University of North Carolina at Chapel Hill,Chemistry,control,2024-11-22 00:00:00,Spring
Erik A. Rodriguez,George Washington University,Hispanic,Man,Assistant Professor,Chemistry,"fluorescent proteins, fluorescence imaging, bioengineering, biochemistry, biophysics, chemical biology, biosensors, imaging probes",Match Detail,,Jon Rodriguez,University of Wisconsin-Milwaukee,latino,University of North Texas,Chemistry,control,9/5/2024 0:00,Fall
Erik A. Rodriguez,George Washington University,Hispanic,Man,Assistant Professor,Chemistry,"fluorescent proteins, fluorescence imaging, bioengineering, biochemistry, biophysics, chemical biology, biosensors, imaging probes",Match Detail,,Efrain Rodriguez,University of Maryland,latino,University of Washington,Chemistry,control,2025-4-8,Fall
Lakeisha Mcclary,George Washington University,Black,Woman,Assistant Professor,Chemistry,chemistry education,No,0,,,,,,,,
Adegboyega Yomi Oyelere,Georgia Institute of Technology,Black,Man,Professor,Chemistry,"bioorganic chemistry, biochemistry and drug design, rna-small molecule interaction, targeted histone deacetylase (hdac) inhibition, design and synthesis of novel bioconjugates for molecular delivery applications",No,0,,,,,,,,
Stefan France,Georgia Institute of Technology,Black,Man,Professor,Chemistry,"method development, natural product synthesis, medicinal chemistry",Yes,2,,,,,,,,
Stefan France,Georgia Institute of Technology,Black,Man,Professor,Chemistry,"method development, natural product synthesis, medicinal chemistry",Match Detail,,Scott France,ORG: Merck,white,University of Illinois Urbana-Champaign,Chemistry,control,9/16/2024 0:00,Fall
Stefan France,Georgia Institute of Technology,Black,Man,Professor,Chemistry,"method development, natural product synthesis, medicinal chemistry",Match Detail,,Francesca M. Marassi,Medical College of Wisconsin,white,Washington University in St. Louis,Chemistry,treatment,12/5/2024 0:00,Fall
Suazette Reid Mooring,Georgia State University,Black,Woman,Professor,Chemistry,"qualitative and quantitative education research methods, organic synthesis and drug design

",No,0,,,,,,,,
Christopher Blaszczak-Boxe,"Graduate Center, CUNY",Black,Man,Assistant Professor,Chemistry,physical chemistry,No,0,,,,,,,,
Columba De La Parra,"Graduate Center, CUNY",Hispanic,Woman,Assistant Professor,Chemistry,"molecular, cellular and developmental biology, cancer and metabolism
",No,0,,,,,,,,
Guillermo Geronanavarro,"Graduate Center, CUNY",Hispanic,Man,Associate Professor,Chemistry,chemical biology and organic chemistry,No,0,,,,,,,,
Mande Holford,"Graduate Center, CUNY",Black,Woman,Professor,Chemistry,reconstructing the evolutionary history of venomous marine snails and investigating their toxins as biochemical tools for characterizing cellular communication in the nervous system and as potential drugs,No,0,,,,,,,,
Maria Contel,"Graduate Center, CUNY",Hispanic,Woman,Professor,Chemistry,"inorganic/organometallic homogeneous catalysis , green chemistry) and medicinal chemistry",No,0,,,,,,,,
Mariana Torrente,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Chemistry,the roles of epigenetic mechanisms-histone modifications in particular and protein misfolding etiology of neurodegenerative and neuropsychiatric diseases,No,0,,,,,,,,
Naphtali Oconnor,"Graduate Center, CUNY",Black,Man,Professor,Chemistry,"organic and polymer chemistry, the study of fluorescent sensors, biodegradable hydrogels for biomedical applications and co2 sequestration and reduction",No,0,,,,,,,,
Wayne Harding,"Graduate Center, CUNY",Black,Man,Associate Professor,Chemistry,synthesis and evaluation of central nervous system receptor ligands and psychoactive natural products,No,0,,,,,,,,
Yolanda A. Small,"Graduate Center, CUNY",Black,Woman,Associate Professor,Chemistry,"physical chemistry, biochemistry, nanoscience, computational chemistry
",No,0,,,,,,,,
Tendai Gadzikwa,Kansas State University,Black,Woman,Associate Professor,Chemistry,"functional materials, catalysis and nanochemistry, design and synthesis of molecules and supramolecular architectures",Yes,1,,,,,,,,
Tendai Gadzikwa,Kansas State University,Black,Woman,Associate Professor,Chemistry,"functional materials, catalysis and nanochemistry, design and synthesis of molecules and supramolecular architectures",Match Detail,,Tendai Gadzikwa,Kansas State University,black,University of North Texas,Chemistry,control,11/21/2024 0:00,Fall
Daniel Kuroda,Louisiana State University,Hispanic,Man,Associate Professor,Chemistry,"polymers, designer solvents, and electrolytes",No,0,,,,,,,,
Victor Garcia Lopez,Louisiana State University,Hispanic,Man,Assistant Professor,Chemistry,"artificial molecular machines, chemical probes for lipids and membranes, supramolecular photochemistry",Yes,7,,,,,,,,
Victor Garcia Lopez,Louisiana State University,Hispanic,Man,Assistant Professor,Chemistry,"artificial molecular machines, chemical probes for lipids and membranes, supramolecular photochemistry",Match Detail,,Lauren Lopez,Purdue University,latino,Purdue University,Chemistry,control,1/28/2025,Spring
Victor Garcia Lopez,Louisiana State University,Hispanic,Man,Assistant Professor,Chemistry,"artificial molecular machines, chemical probes for lipids and membranes, supramolecular photochemistry",Match Detail,,Vidal Lopez,UCR,white,"University of California, Riverside",Chemistry,treatment,5/15/2025,Spring
