department,condition,clicked,total_clicks,num_emails
Binghamton University-Mathematics,control,0,0,1
Montana State University-Mathematics,treatment,0,0,1
University of Wisconsin-Madison-Mathematics,control,0,0,1
University of Wisconsin-Madison-Physics,control,0,0,1
University of Georgia-Mathematics,treatment,1,3,1
"University of California, Irvine-Mathematics",control,1,1,1
Rutgers University-New Brunswick-Physics,control,0,0,1
Kansas State University-Physics,treatment,0,0,1
University at Buffalo-Computer Science,control,0,0,1
Stony Brook University-Physics,treatment,1,2,1
Ohio University-Physics,treatment,0,0,1
Duke University-Mathematics,control,0,0,1
"University of California, Irvine-Physics",treatment,1,4,1
Louisiana State University-Mathematics,treatment,1,4,1
Colorado State University-Mathematics,treatment,0,0,1
University of Memphis-Mathematics,control,1,1,1
Clemson University-Mathematics,treatment,0,0,1
Tufts University-Mathematics,control,0,0,1
University of Virginia-Mathematics,control,1,2,1
Carnegie Mellon University-Computer Science,control,0,0,1
University of Connecticut-Mathematics,treatment,0,0,1
University of Chicago-Mathematics,control,1,2,1
University of Washington-Mathematics,treatment,1,3,1
Dartmouth College-Mathematics,treatment,0,0,1
Arizona State University-Mathematics,control,0,0,1
University of Nebraska-Lincoln-Chemistry,treatment,0,0,1
University of Colorado Boulder-Mathematics,control,0,0,1
"University of California, Davis-Mathematics",control,0,0,1
University of Cincinnati-Mechanical Engineering,control,1,1,1
Texas A&M University-Mathematics,treatment,0,0,1
University of Illinois Chicago-Physics,treatment,0,0,1
Boston University-Physics,control,0,0,1
North Carolina State University-Mathematics,treatment,1,4,1
Yale University-Computer Science,control,0,0,1
University of Massachusetts Amherst-Mathematics,control,0,0,1
New York University-Mathematics,control,0,0,1
"University of California, San Diego-Mathematics",treatment,0,0,1
University of Illinois Urbana-Champaign-Physics,treatment,1,1,1
University of Wisconsin-Madison-Chemistry,treatment,0,0,1
Syracuse University-Physics,treatment,0,0,1
Brown University-Physics,treatment,0,0,1
University of Tennessee-Chemistry,control,0,0,1
University of Michigan-Mathematics,treatment,0,0,1
Cornell University-Computer Science,control,0,0,1
Kent State University-Mathematics,control,0,0,1
Purdue University-Physics,control,0,0,1
"University of California, Los Angeles-Mathematics",control,0,0,1
University of Alabama in Huntsville-Mathematics,control,0,0,1
University at Buffalo-Mathematics,control,0,0,1
University of North Carolina at Chapel Hill-Mathematics,treatment,0,0,1
Colorado School of Mines-Physics,control,1,1,1
Rutgers University-New Brunswick-Mathematics,control,0,0,1
University of Houston-Mathematics,treatment,0,0,1
"University of California, Santa Cruz-Physics",treatment,0,0,1
Princeton University-Mathematics,control,0,0,1
Columbia University-Mathematics,treatment,0,0,1
Cornell University-Mathematics,control,0,0,1
Virginia Tech-Mathematics,control,0,0,1
Georgetown University-Physics,control,0,0,1
Ohio State University-Mathematics,treatment,0,0,1
Brandeis University-Physics,treatment,0,0,1
University of Chicago-Chemistry,treatment,1,1,1
"University of California, Riverside-Computer Science",control,0,0,1
Indiana University Bloomington-Chemistry,control,0,0,1
University of Michigan-Mechanical Engineering,treatment,1,4,1
Tulane University-Mathematics,treatment,1,3,1
"University of California, Santa Cruz-Mathematics",treatment,0,0,1
Northeastern University-Mathematics,treatment,0,0,1
Iowa State University-Mathematics,control,0,0,1
University of Georgia-Chemistry,control,1,1,1
Auburn University-Mathematics,control,0,0,1
"University of California, San Diego-Chemistry",control,0,0,1
University of Notre Dame-Physics,control,0,0,1
Vanderbilt University-Physics,control,0,0,1
University of Southern California-Mathematics,control,1,1,1
California Institute of Technology-Physics,control,0,0,1
"University of California, Los Angeles-Physics",treatment,0,0,1
University of Florida-Mathematics,control,0,0,1
