department,num_email_recipients,num_female_recipients,pct_female_recipients,num_urm_recipients,pct_urm_recipients,num_black_recipients,pct_black_recipients,num_hispanic_recipients,pct_hispanic_recipients,num_assistant_prof_recipients,pct_assistant_prof_recipients,department_clean
Arizona State University-Chemistry,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Arizona State University
Arizona State University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Arizona State University
Arizona State University-Mathematics,8,1,0.125,1,0.125,0,0.0,1,0.125,0,0.0,Mathematics-Arizona State University
Arizona State University-Mechanical Engineering,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Arizona State University
Arizona State University-Physics,5,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Arizona State University
Auburn University-Chemistry,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Auburn University
Auburn University-Computer Science,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Computer Science-Auburn University
Auburn University-Mathematics,10,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Auburn University
Auburn University-Mechanical Engineering,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Auburn University
Baylor University-Chemistry,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Baylor University
Baylor University-Mathematics,4,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Baylor University
Baylor University-Physics,2,2,1.0,1,0.5,1,0.5,0,0.0,0,0.0,Physics-Baylor University
Binghamton University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Binghamton University
Binghamton University-Mathematics,12,0,0.0,2,0.1667,1,0.0833,1,0.0833,0,0.0,Mathematics-Binghamton University
Binghamton University-Mechanical Engineering,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Binghamton University
Boston College-Mathematics,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Boston College
Boston College-Physics,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Boston College
Boston University-Chemistry,3,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Boston University
Boston University-Computer Science,8,4,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Boston University
Boston University-Mathematics,8,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Boston University
Boston University-Mechanical Engineering,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Boston University
Boston University-Physics,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Boston University
Brandeis University-Computer Science,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Brandeis University
Brandeis University-Mathematics,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Brandeis University
Brandeis University-Physics,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Brandeis University
Brown University-Chemistry,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Brown University
Brown University-Computer Science,3,1,0.3333,1,0.3333,0,0.0,1,0.3333,0,0.0,Computer Science-Brown University
Brown University-Mathematics,10,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Brown University
Brown University-Mechanical Engineering,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Brown University
Brown University-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Brown University
California Institute of Technology-Chemistry,4,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-California Institute of Technology
California Institute of Technology-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-California Institute of Technology
California Institute of Technology-Mathematics,5,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-California Institute of Technology
California Institute of Technology-Mechanical Engineering,2,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,Mechanical Engineering-California Institute of Technology
California Institute of Technology-Physics,4,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-California Institute of Technology
