department,num_female_urm,num_female_total,pct_urm_among_female,treatment,bin_category
Arizona State University-Chemistry,0,2,0.0,0.0,"(1,3]"
Arizona State University-Computer Science,0,1,0.0,,
Arizona State University-Mathematics,0,1,0.0,0.0,"(3,5]"
Arizona State University-Physics,0,1,0.0,1.0,"(3,5]"
Auburn University-Computer Science,1,1,1.0,0.0,"[0,1]"
Auburn University-Mathematics,0,1,0.0,0.0,"(5,7]"
Auburn University-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
Baylor University-Mathematics,0,2,0.0,0.0,"(3,5]"
Baylor University-Physics,1,2,0.5,,
Binghamton University-Computer Science,0,1,0.0,0.0,"(1,3]"
Binghamton University-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
Boston University-Chemistry,0,3,0.0,1.0,"(1,3]"
Boston University-Computer Science,0,4,0.0,1.0,"(5,7]"
Boston University-Mathematics,0,1,0.0,1.0,"(3,5]"
Boston University-Mechanical Engineering,0,1,0.0,0.0,"(1,3]"
Boston University-Physics,0,2,0.0,0.0,"(5,7]"
Brandeis University-Physics,0,2,0.0,1.0,"(1,3]"
Brown University-Chemistry,0,1,0.0,0.0,"(1,3]"
Brown University-Computer Science,0,1,0.0,0.0,"(1,3]"
Brown University-Mathematics,0,1,0.0,0.0,"(7,11]"
Brown University-Mechanical Engineering,0,2,0.0,1.0,"(1,3]"
Brown University-Physics,0,1,0.0,1.0,"(1,3]"
California Institute of Technology-Chemistry,0,2,0.0,0.0,"(3,5]"
California Institute of Technology-Computer Science,0,1,0.0,0.0,"[0,1]"
California Institute of Technology-Mathematics,0,1,0.0,0.0,"(3,5]"
California Institute of Technology-Mechanical Engineering,1,1,1.0,1.0,"[0,1]"
California Institute of Technology-Physics,0,2,0.0,0.0,"(1,3]"
Carnegie Mellon University-Chemistry,0,1,0.0,0.0,"[0,1]"
Carnegie Mellon University-Computer Science,0,2,0.0,0.0,"(7,11]"
Carnegie Mellon University-Mathematics,0,1,0.0,1.0,"(5,7]"
Carnegie Mellon University-Mechanical Engineering,1,1,1.0,0.0,"[0,1]"
Case Western Reserve University-Chemistry,0,1,0.0,0.0,"[0,1]"
Case Western Reserve University-Computer Science,0,1,0.0,,
Case Western Reserve University-Mathematics,1,2,0.5,1.0,"(3,5]"
Case Western Reserve University-Physics,0,1,0.0,0.0,"(3,5]"
Clemson University-Chemistry,0,1,0.0,0.0,"[0,1]"
Clemson University-Computer Science,0,1,0.0,,
Clemson University-Mechanical Engineering,0,1,0.0,,
Colorado School of Mines-Chemistry,0,1,0.0,0.0,"[0,1]"
Colorado School of Mines-Computer Science,0,2,0.0,0.0,"[0,1]"
Colorado School of Mines-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
Colorado School of Mines-Physics,0,1,0.0,0.0,"[0,1]"
Colorado State University-Chemistry,0,1,0.0,1.0,"(3,5]"
Colorado State University-Physics,0,1,0.0,0.0,"[0,1]"
Columbia University-Chemistry,0,1,0.0,1.0,"(1,3]"
Columbia University-Computer Science,0,1,0.0,,
Columbia University-Mathematics,1,2,0.5,1.0,"(11,17]"
Columbia University-Mechanical Engineering,1,1,1.0,1.0,"[0,1]"
Columbia University-Physics,0,1,0.0,1.0,"(5,7]"
Cornell University-Computer Science,1,3,0.3333333333333333,0.0,"(7,11]"
Cornell University-Mathematics,0,1,0.0,0.0,"(7,11]"
Cornell University-Mechanical Engineering,1,1,1.0,0.0,"[0,1]"
Cornell University-Physics,0,3,0.0,0.0,"(3,5]"
Dartmouth College-Chemistry,0,1,0.0,1.0,"[0,1]"
Dartmouth College-Mathematics,0,2,0.0,1.0,"(5,7]"
Dartmouth College-Physics,0,1,0.0,0.0,"[0,1]"
Duke University-Chemistry,0,2,0.0,0.0,"(1,3]"
Duke University-Computer Science,0,1,0.0,1.0,"(1,3]"
Duke University-Mathematics,0,1,0.0,0.0,"(3,5]"
Duke University-Mechanical Engineering,0,2,0.0,0.0,"[0,1]"
Emory University-Chemistry,1,1,1.0,0.0,"(1,3]"
Florida International University-Chemistry,1,1,1.0,1.0,"[0,1]"
Florida International University-Mathematics,0,1,0.0,1.0,"(1,3]"
Florida International University-Physics,1,1,1.0,1.0,"[0,1]"
Florida State University-Chemistry,0,1,0.0,0.0,"(7,11]"
Florida State University-Computer Science,0,1,0.0,1.0,"[0,1]"
Florida State University-Mechanical Engineering,0,1,0.0,1.0,"[0,1]"
George Mason University-Computer Science,0,1,0.0,0.0,"[0,1]"
George Mason University-Mathematics,0,2,0.0,0.0,"(5,7]"
George Mason University-Mechanical Engineering,0,1,0.0,1.0,"[0,1]"
George Mason University-Physics,0,1,0.0,0.0,"[0,1]"
George Washington University-Mathematics,1,1,1.0,0.0,"(3,5]"
Georgetown University-Chemistry,1,2,0.5,0.0,"[0,1]"
Georgetown University-Physics,1,2,0.5,0.0,"[0,1]"
Georgia Institute of Technology-Chemistry,1,1,1.0,1.0,"(5,7]"
Georgia Institute of Technology-Computer Science,0,1,0.0,1.0,"(3,5]"
Georgia Institute of Technology-Mechanical Engineering,0,1,0.0,0.0,"(1,3]"
Georgia Institute of Technology-Physics,0,2,0.0,1.0,"(3,5]"
Georgia State University-Chemistry,0,1,0.0,0.0,"[0,1]"
"Graduate Center, CUNY-Mathematics",1,1,1.0,1.0,"(17,26]"
"Graduate Center, CUNY-Mechanical Engineering",1,1,1.0,1.0,"[0,1]"
Harvard University-Chemistry,1,1,1.0,1.0,"(1,3]"
Harvard University-Computer Science,0,3,0.0,1.0,"(1,3]"
Harvard University-Physics,1,2,0.5,1.0,"(3,5]"
Indiana University Bloomington-Mathematics,1,2,0.5,1.0,"(7,11]"
Indiana University Bloomington-Physics,0,1,0.0,0.0,"(1,3]"
