database_name,database_name_cleaned,database_university,database_discipline,database_race,database_gender,matched,speaker_id,speaker_name,speaker_university,speaker_race,speaker_gender,confidence,reasoning
Carlos E. Manzanares,Carlos E Manzanares,Baylor University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Arturo Vegas,Arturo Vegas,Boston University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Malika Jeffriesel,Malika Jeffriesel,Boston University,Chemistry,Black,Woman,False,,,,,,,No match found
Rosina M. Georgiadis,Rosina M Georgiadis,Boston University,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Gabriel Gomes,Gabriel Gomes,Carnegie Mellon University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Isaac Garcia Bosch,Isaac Garcia Bosch,Carnegie Mellon University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Carlos E. Crespo-Hernandez,Carlos E Crespo-Hernandez,Case Western Reserve University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Daniel A. Scherson,Daniel A Scherson,Case Western Reserve University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Carlos D. Garcia Perez,Carlos D Garcia Perez,Clemson University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Ivan A. Moreno-Hernandez,Ivan A Moreno-Hernandez,Duke University,Chemistry,Hispanic,Man,True,78b25e573f03,Ivan A. Moreno-Hernandez,Duke University,latino,man,high,"The full name 'Ivan A. Moreno-Hernandez' matches exactly with the cleaned name 'Ivan A Moreno-Hernandez' in both the database and the potential speaker list. Additionally, the university affiliation 'Duke University' is the same in both records, further confirming the match. There are no variations or discrepancies in the name or university that would suggest otherwise."
Francesco Evangelista,Francesco Evangelista,Emory University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Raphael F. Ribeiro,Raphael F Ribeiro,Emory University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Francisco Alberto Fernandez-Lima,Francisco Alberto Fernandez-Lima,Florida International University,Chemistry,Hispanic,Man,True,6f647d97b96a,Francisco Alberto Fernandez-Lima,Florida International University,latino,man,high,"The full name 'Francisco Alberto Fernandez-Lima' matches exactly with the name in the database. Additionally, the university affiliation 'Florida International University' is the same for both the database entry and the potential speaker. There are no discrepancies in the name or university, leading to a high confidence match."
Natalia Soares Quinete,Natalia Soares Quinete,Florida International University,Chemistry,Hispanic,Woman,True,dcbee2fa24cb,Natalia Soares Quinete,Florida International University,latino,woman,high,"The full name 'Natalia Soares Quinete' from the database matches exactly with the name of the speaker in the seminar data. Additionally, the university affiliation 'Florida International University' is the same in both records, which further supports the match. There are no variations or discrepancies in the name or university that would suggest otherwise."
Ramon Lopez De La Vega,Ramon Lopez De La Vega,Florida International University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Mosissa Fayissa,Mosissa Fayissa,George Mason University,Chemistry,Black,Man,False,,,,,,,No match found
Erik A. Rodriguez,Erik A Rodriguez,George Washington University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Lakeisha Mcclary,Lakeisha Mcclary,George Washington University,Chemistry,Black,Woman,False,,,,,,,No match found
Adegboyega Yomi Oyelere,Adegboyega Yomi Oyelere,Georgia Institute of Technology,Chemistry,Black,Man,False,,,,,,,No match found
Stefan France,Stefan France,Georgia Institute of Technology,Chemistry,Black,Man,False,,,,,,,No match found
Suazette Reid Mooring,Suazette Reid Mooring,Georgia State University,Chemistry,Black,Woman,False,,,,,,,No match found
Christopher Blaszczak-Boxe,Christopher Blaszczak-Boxe,"Graduate Center, CUNY",Chemistry,Black,Man,False,,,,,,,No match found
Columba De La Parra,Columba De La Parra,"Graduate Center, CUNY",Chemistry,Hispanic,Woman,False,,,,,,,No match found
Guillermo Geronanavarro,Guillermo Geronanavarro,"Graduate Center, CUNY",Chemistry,Hispanic,Man,False,,,,,,,No match found
Mande Holford,Mande Holford,"Graduate Center, CUNY",Chemistry,Black,Woman,False,,,,,,,No match found
Maria Contel,Maria Contel,"Graduate Center, CUNY",Chemistry,Hispanic,Woman,False,,,,,,,No match found
Mariana Torrente,Mariana Torrente,"Graduate Center, CUNY",Chemistry,Hispanic,Woman,False,,,,,,,No match found
Naphtali Oconnor,Naphtali Oconnor,"Graduate Center, CUNY",Chemistry,Black,Man,False,,,,,,,No match found
Wayne Harding,Wayne Harding,"Graduate Center, CUNY",Chemistry,Black,Man,False,,,,,,,No match found
Yolanda A. Small,Yolanda A Small,"Graduate Center, CUNY",Chemistry,Black,Woman,False,,,,,,,No match found
Tendai Gadzikwa,Tendai Gadzikwa,Kansas State University,Chemistry,Black,Woman,True,9c76dd71e945,Tendai Gadzikwa,Kansas State University,black,man,high,"The name 'Tendai Gadzikwa' from the database matches exactly with the name 'Tendai Gadzikwa' in the potential speakers list. Additionally, both are affiliated with Kansas State University, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Daniel Kuroda,Daniel Kuroda,Louisiana State University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Victor Garcia Lopez,Victor Garcia Lopez,Louisiana State University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Zakiya Wilson-Kennedy,Zakiya Wilson-Kennedy,Louisiana State University,Chemistry,Black,Woman,False,,,,,,,No match found
Oleta Johnson,Oleta Johnson,Massachusetts Institute of Technology,Chemistry,Black,Woman,False,,,,,,,No match found
