seminar_id,university,discipline,department,condition,total_speakers,speakers_with_demographics,num_urm,num_black,num_hispanic,num_native_american,num_female,num_male,num_white,num_asian,pct_urm,pct_black,pct_hispanic,pct_native_american,pct_female,pct_male,pct_white,pct_asian,has_any_urm,has_any_black,has_any_hispanic,has_any_native_american,has_any_female,has_fall_speakers,has_spring_speakers,fall_total_speakers,fall_speakers_with_demographics,fall_num_urm,fall_num_black,fall_num_hispanic,fall_num_female,fall_pct_urm,fall_pct_black,fall_pct_hispanic,fall_pct_female,spring_total_speakers,spring_speakers_with_demographics,spring_num_urm,spring_num_black,spring_num_hispanic,spring_num_female,spring_pct_urm,spring_pct_black,spring_pct_hispanic,spring_pct_female,num_speakers_with_phd_year,pct_speakers_with_phd_year,mean_years_from_phd,median_years_from_phd,min_years_from_phd,max_years_from_phd,num_current_students,pct_current_students,treatment,department_std,bin_category,batch_number,total_faculty,urm_faculty,women_faculty,frac_urm_faculty,frac_women_faculty,dept_ranking,general_ranking,missing_dept_rank,num_recipients,total_peer_departments,total_urm_peer_faculty,bin_7_11,bin_1_3,bin_17_26,bin_3_5,bin_5_7,bin_0_1,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,disc_mathematics,disc_physics,disc_computer_science,disc_mechanical_engineering
003ac8-0efc4e-2f,Binghamton University,Mathematics,Binghamton University-Mathematics,control,20,20,0,0,0,0,3,17,13,7,0.0,0.0,0.0,0.0,15.0,85.0,65.0,35.0,0,0,0,0,1,1,1,10,10,0,0,0,0,0.0,0.0,0.0,0.0,10,10,0,0,0,3,0.0,0.0,0.0,30.0,16,80.0,17.5,18.0,1.0,31.0,4,25.0,0,Binghamton University-Mathematics,"(7,11]",9.0,28,1,4,0.03571428571428571,0.14285714285714285,104.0,67.0,0,9,40,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
005d0a-caf943-2a,Montana State University,Mathematics,Montana State University-Mathematics,treatment,22,22,2,1,1,0,2,20,16,4,9.090909090909092,4.545454545454546,4.545454545454546,0.0,9.090909090909092,90.9090909090909,72.72727272727273,18.181818181818183,1,1,1,0,1,1,1,11,11,0,0,0,2,0.0,0.0,0.0,18.181818181818183,11,11,2,1,1,0,18.181818181818183,9.090909090909092,9.090909090909092,0.0,16,72.72727272727273,14.375,14.5,3.0,30.0,8,50.0,1,Montana State University-Mathematics,"(1,3]",7.0,25,1,11,0.04,0.44,125.0,141.0,0,2,40,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
008535-f3cced-21,University of Wisconsin-Madison,Mathematics,University of Wisconsin-Madison-Mathematics,control,17,17,2,0,2,0,0,17,10,5,11.76470588235294,0.0,11.76470588235294,0.0,0.0,100.0,58.82352941176471,29.411764705882355,1,0,1,0,0,1,1,14,14,2,0,2,0,14.285714285714285,0.0,14.285714285714285,0.0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,16,94.11764705882352,29.0,31.0,9.0,39.0,7,43.75,0,University of Wisconsin-Madison-Mathematics,"(11,17]",4.0,58,4,11,0.06896551724137931,0.1896551724137931,19.0,38.0,0,15,40,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
008cef-9bdf9c-0d,University of Wisconsin-Madison,Physics,University of Wisconsin-Madison-Physics,control,3,3,0,0,0,0,0,3,2,1,0.0,0.0,0.0,0.0,0.0,100.0,66.66666666666666,33.33333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,1,33.33333333333333,5.0,5.0,5.0,5.0,0,0.0,0,University of Wisconsin-Madison-Physics,"(7,11]",10.0,54,0,8,0.0,0.14814814814814814,27.0,38.0,0,4,40,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
00aa10-e8beff-4c,University of Georgia,Mathematics,University of Georgia-Mathematics,treatment,21,21,0,0,0,0,0,21,12,9,0.0,0.0,0.0,0.0,0.0,100.0,57.14285714285714,42.857142857142854,0,0,0,0,0,1,1,12,12,0,0,0,0,0.0,0.0,0.0,0.0,9,9,0,0,0,0,0.0,0.0,0.0,0.0,18,85.71428571428571,14.0,7.0,1.0,41.0,3,16.666666666666664,1,University of Georgia-Mathematics,"(7,11]",8.0,33,1,7,0.030303030303030304,0.21212121212121213,60.0,48.0,0,2,40,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
00b316-d7200e-fd,"University of California, Irvine",Mathematics,"University of California, Irvine-Mathematics",control,20,20,2,1,1,0,3,17,10,8,10.0,5.0,5.0,0.0,15.0,85.0,50.0,40.0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,20,2,1,1,3,10.0,5.0,5.0,15.0,17,85.0,10.6875,6.0,1.0,35.0,1,5.88235294117647,0,"University of California, Irvine-Mathematics","(11,17]",9.0,43,3,4,0.06976744186046512,0.09302325581395349,37.0,34.0,0,2,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
011abf-b70a67-65,Rutgers University-New Brunswick,Physics,Rutgers University-New Brunswick-Physics,control,5,5,0,0,0,0,0,5,5,0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,5,100.0,19.4,17.0,12.0,27.0,0,0.0,0,Rutgers University-New Brunswick-Physics,"(17,26]",10.0,7,0,1,0.0,0.14285714285714285,32.0,40.0,0,12,40,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
011ce3-f043e2-21,Kansas State University,Physics,Kansas State University-Physics,treatment,21,21,0,0,0,0,5,16,16,5,0.0,0.0,0.0,0.0,23.809523809523807,76.19047619047619,76.19047619047619,23.809523809523807,0,0,0,0,1,1,1,9,9,0,0,0,2,0.0,0.0,0.0,22.22222222222222,12,12,0,0,0,3,0.0,0.0,0.0,25.0,18,85.71428571428571,20.944444444444443,21.5,2.0,47.0,0,0.0,1,Kansas State University-Physics,"(1,3]",1.0,26,0,1,0.0,0.038461538461538464,87.0,113.0,0,4,40,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
011e14-875572-14,University at Buffalo,Computer Science,University at Buffalo-Computer Science,control,9,9,0,0,0,0,2,7,5,4,0.0,0.0,0.0,0.0,22.22222222222222,77.77777777777779,55.55555555555556,44.44444444444444,0,0,0,0,1,1,0,9,9,0,0,0,2,0.0,0.0,0.0,22.22222222222222,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,100.0,16.88888888888889,16.0,5.0,27.0,0,0.0,0,University at Buffalo-Computer Science,"(1,3]",8.0,42,1,6,0.023809523809523808,0.14285714285714285,62.0,71.0,0,2,40,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
01dcca-7bbb99-e5,Stony Brook University,Physics,Stony Brook University-Physics,treatment,15,15,0,0,0,0,2,13,13,2,0.0,0.0,0.0,0.0,13.333333333333334,86.66666666666667,86.66666666666667,13.333333333333334,0,0,0,0,1,1,1,8,8,0,0,0,1,0.0,0.0,0.0,12.5,7,7,0,0,0,1,0.0,0.0,0.0,14.285714285714285,12,80.0,15.7,8.5,2.0,50.0,2,16.666666666666664,1,Stony Brook University-Physics,"(11,17]",2.0,74,2,11,0.02702702702702703,0.14864864864864866,25.0,55.0,0,10,40,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
