university,discipline,condition,peer_universities,shown_database_size,shown_black_faculty,total_speakers,speakers_from_peer_unis,speakers_from_shown_db,percent_of_all_speakers,percent_of_peer_speakers,used_shown_db,black_speakers_total,black_from_peers,black_from_shown_db
Arizona State University,Mathematics,control,40,33,12,50,9,0,0.0,0.0,False,0,0,0
Arizona State University,Physics,treatment,40,29,9,81,19,0,0.0,0.0,False,2,0,0
Arizona State University,Chemistry,control,40,33,12,72,14,0,0.0,0.0,False,4,0,0
Arizona State University,Computer Science,treatment,0,0,0,0,0,0,0.0,0.0,False,0,0,0
Arizona State University,Mechanical Engineering,treatment,40,37,21,49,22,0,0.0,0.0,False,4,2,0
Auburn University,Mathematics,control,40,32,10,87,8,0,0.0,0.0,False,2,0,0
Auburn University,Mechanical Engineering,control,40,35,19,4,1,0,0.0,0.0,False,0,0,0
Auburn University,Chemistry,treatment,40,23,12,31,3,0,0.0,0.0,False,0,0,0
Auburn University,Computer Science,control,40,29,18,12,0,0,0.0,0.0,False,0,0,0
Baylor University,Mathematics,control,40,30,11,35,7,0,0.0,0.0,False,1,0,0
Baylor University,Physics,control,0,0,0,0,0,0,0.0,0.0,False,0,0,0
Baylor University,Chemistry,control,40,36,16,10,1,0,0.0,0.0,False,0,0,0
Binghamton University,Mathematics,control,40,29,10,124,4,0,0.0,0.0,False,1,0,0
Binghamton University,Computer Science,control,40,25,14,14,1,0,0.0,0.0,False,0,0,0
Binghamton University,Mechanical Engineering,control,40,34,19,6,1,0,0.0,0.0,False,0,0,0
Boston College,Mathematics,control,40,36,13,39,4,0,0.0,0.0,False,1,0,0
Boston College,Physics,treatment,40,28,11,23,4,0,0.0,0.0,False,1,1,0
Boston University,Physics,control,40,40,9,68,9,0,0.0,0.0,False,1,0,0
Boston University,Mathematics,treatment,40,35,12,76,11,0,0.0,0.0,False,2,0,0
Boston University,Computer Science,treatment,40,31,17,50,9,0,0.0,0.0,False,0,0,0
Boston University,Mechanical Engineering,control,40,37,21,13,4,0,0.0,0.0,False,1,1,0
Boston University,Chemistry,treatment,40,27,12,33,7,0,0.0,0.0,False,1,0,0
Brandeis University,Physics,treatment,40,28,8,41,1,0,0.0,0.0,False,1,0,0
Brandeis University,Computer Science,control,40,25,14,6,1,0,0.0,0.0,False,0,0,0
Brandeis University,Mathematics,treatment,40,33,13,65,11,0,0.0,0.0,False,4,1,0
Brown University,Physics,treatment,40,45,14,36,10,0,0.0,0.0,False,1,0,0
Brown University,Mechanical Engineering,treatment,40,37,22,15,5,0,0.0,0.0,False,0,0,0
